#File	data/raw_data/WT_DSS_D1_REP1_read1.fastq.gz	data/raw_data/WT_DSS_D1_REP1_read2.fastq.gz
#Total	36378034
#Matched	1518	0.00417%
#Name	Reads	ReadsPct
TruSeq_Universal_Adapter	1395	0.00383%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	53	0.00015%
Reverse_adapter	40	0.00011%
PhiX_read2_adapter	8	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	5	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	4	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	3	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	2	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	2	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	1	0.00000%
TruSeq_Adapter_Index_6	1	0.00000%
TruSeq_Adapter_Index_4	1	0.00000%
