"","genes","logFC","logCPM","PValue","FDR"
"P4ha1","P4ha1",-0.490445795442569,6.99550872018994,0.37831139033033,1
"Tusc2","Tusc2",-0.474369659275434,4.62801736446891,0.37834254744257,1
"Fam8a1","Fam8a1",-0.517692682764701,4.19117873324994,0.378472422284097,1
"Gys1","Gys1",-0.542652924475265,6.02983991418942,0.37855775464862,1
"Bcl3","Bcl3",-0.478074781715815,6.95748918310838,0.378794771122504,1
"Luzp1","Luzp1",-0.473082895952079,5.79103923553066,0.378940680957164,1
"Rif1","Rif1",0.448116889892185,4.88260489015235,0.378959398000186,1
"Vegfb","Vegfb",-0.469629340904693,5.29643356830042,0.379185817276713,1
"Rreb1","Rreb1",-0.460763201396751,6.24877586432458,0.379417681827944,1
"Mms19","Mms19",0.454723221511419,5.8691438654979,0.379430290098313,1
"Polh","Polh",0.469721463593998,3.69775673827938,0.379452455382018,1
"Ephx1","Ephx1",-0.550994118394201,6.00213014544056,0.379455390235499,1
"Brf1","Brf1",0.442920052332717,5.56739291776786,0.379588303216533,1
"C1d","C1d",-0.478180803950216,3.51978642562134,0.379958489991922,1
"Add3","Add3",0.535247715744673,6.03233526210248,0.380127642605571,1
"Dnajc11","Dnajc11",-0.444018834740706,5.14134994924438,0.380146436173957,1
"Gprin3","Gprin3",0.5072552864016,2.9298567240394,0.380269435152158,1
"Atpif1","Atpif1",-0.487921410117921,6.74496284851311,0.380334348930027,1
"Dpagt1","Dpagt1",-0.449190364125379,5.23710717107303,0.380369516387778,1
"Snrpc","Snrpc",0.442043457200687,5.22685117165645,0.380480208550506,1
"Btf3","Btf3",0.49252797334265,7.8870933431695,0.380547982966204,1
"Rufy3","Rufy3",-0.452760840421021,4.4820149853567,0.380596536732698,1
"Ndufb2","Ndufb2",-0.465179085732733,3.71987531645072,0.38063619131203,1
"Zfp472","Zfp472",0.526821276837639,1.80554880323026,0.380712450534889,1
"Wtip","Wtip",-0.524828881789587,5.00552437798705,0.380852110935751,1
"Tbc1d10a","Tbc1d10a",-0.482608301592568,5.60525231445451,0.380928541686792,1
"Atr","Atr",0.458005890049134,3.95733092793246,0.38106589666049,1
"Zscan29","Zscan29",0.449663184444615,4.32665823007111,0.381083321159102,1
"AI987944","AI987944",-0.465895750757309,3.21122415006167,0.381169653418041,1
"Ahr","Ahr",-0.466097143632119,6.17078863331733,0.381192560746439,1
"Angptl4","Angptl4",-0.598915639367094,6.89786191913509,0.3812400487949,1
"Slc12a2","Slc12a2",-0.590174490883043,8.12301607545501,0.381305783532037,1
"Rps3a1","Rps3a1",0.495503190912412,9.35380414923097,0.38130632028223,1
"Cebpg","Cebpg",-0.448190239148766,6.06479622733114,0.38141613316022,1
"Anp32b","Anp32b",0.487688264384081,7.15551056197824,0.381528287181464,1
"Hs2st1","Hs2st1",-0.498912701288243,5.77419927757945,0.381611723911604,1
"Mmp2","Mmp2",-0.4475507057376,4.63188083728602,0.381669775708071,1
"Tkfc","Tkfc",0.455546571324451,3.94811554848218,0.381762965255057,1
"Tspyl4","Tspyl4",-0.507206060108536,2.71831672857329,0.381815711218277,1
"Laptm4a","Laptm4a",-0.514718088086024,8.36345026156893,0.381822797944191,1
"Dstn","Dstn",-0.559649244293755,8.90641881084753,0.382271174604495,1
"Afg1l","Afg1l",-0.465174387523838,3.12641491303294,0.382480401884979,1
"B4galt6","B4galt6",-0.582150637760405,6.43713830077019,0.382509440446363,1
"Hsd17b12","Hsd17b12",-0.451896273391386,6.57518314239219,0.382639121397905,1
"Sugp2","Sugp2",0.445341765925068,4.6863859256457,0.382640596252841,1
"Rps26","Rps26",0.499599984441376,9.67856444175595,0.382798714148024,1
"Mir6236","Mir6236",0.4782658953013,2.70098370923568,0.383011629965227,1
"Gna12","Gna12",-0.453664242823682,5.83979767276984,0.383021930517404,1
"Pnpo","Pnpo",-0.442192836741976,4.8938975630527,0.383247527826082,1
"Mrpl23","Mrpl23",-0.443093436776993,4.20482140426833,0.383525463089282,1
"Cobll1","Cobll1",0.474875287594086,5.59028546867342,0.383605130391025,1
"Rwdd1","Rwdd1",0.484932747086083,4.82136676340144,0.383952032891924,1
"Prx","Prx",-0.474456395391744,3.39123040734039,0.38400071335102,1
"F13a1","F13a1",-0.655894386249336,4.26416465613981,0.384105418643666,1
"Dennd1a","Dennd1a",-0.485560396643343,5.71870323646288,0.384591883646417,1
"Rtl8c","Rtl8c",-0.506845871565795,2.50601155484165,0.384607185576745,1
"Nmi","Nmi",0.516628970877905,4.35407075385407,0.384696760176907,1
"Xrcc2","Xrcc2",0.540354703998236,1.73642343355774,0.384877716791008,1
"Elmod2","Elmod2",-0.450163645952522,4.00951199498972,0.384961912252312,1
"Rragc","Rragc",-0.483490395259795,6.43622815126781,0.384983069472904,1
"Plcl2","Plcl2",0.625179217621729,5.69361309824781,0.385309832362012,1
"Ndel1","Ndel1",-0.490442806924975,7.65529698128054,0.385497202635475,1
"Sugp1","Sugp1",0.432136521017695,5.22329746832763,0.385505783076157,1
"Ephb6","Ephb6",-0.535052123287201,3.0663358554168,0.38555197642321,1
"Micu1","Micu1",-0.454149901808767,6.02110499885348,0.385663082225691,1
"9430091E24Rik","9430091E24Rik",0.535158277528297,1.37802714202713,0.385665876761525,1
"Dna2","Dna2",-0.522827217148532,3.57075488843846,0.38568453677847,1
"Impad1","Impad1",-0.436306091103942,5.67070129931246,0.38578512224232,1
"Tspyl1","Tspyl1",0.469240920116241,5.84355806623958,0.385843592945433,1
"Mical3","Mical3",-0.522471586280612,3.60837321594228,0.386320857086752,1
"Rfc2","Rfc2",0.445661002920526,5.61285141593163,0.386404722143927,1
"Slc39a1","Slc39a1",-0.478427601954868,6.96388160370896,0.386435885538969,1
"Ydjc","Ydjc",0.478399724795725,2.39772342845079,0.386487877521958,1
"B3gnt8","B3gnt8",-0.543120424697059,2.88883761578597,0.386494651203206,1
"Bhlhe40","Bhlhe40",0.540277435611839,10.7057946148772,0.386666025079139,1
"Fam167a","Fam167a",-0.62724067953988,2.9017190552907,0.386747847576221,1
"Tap2","Tap2",0.555409716935744,6.98926624782909,0.386820856184545,1
"Ppp1cc","Ppp1cc",0.547347783750255,2.29195836524058,0.387007222233891,1
"Gpr55","Gpr55",0.649562581665258,3.80891465119842,0.387059050121046,1
"Arhgap29","Arhgap29",-0.584583793029436,4.99824425491534,0.387115424073332,1
"Gstk1","Gstk1",-0.561040348428978,5.4923142986331,0.387307604045861,1
"Tuba1b","Tuba1b",0.493567281540821,8.0158532910098,0.38749815748674,1
"Nr3c2","Nr3c2",-0.582862216431575,4.061886686806,0.387512209873622,1
"Ccdc15","Ccdc15",0.484276349658513,2.30364475554209,0.387562285373421,1
"Tmem181a","Tmem181a",-0.457278642688534,4.47485029493475,0.387687690781665,1
"Papolg","Papolg",0.498662662860999,3.66622046578735,0.387913579832823,1
"Nxf1","Nxf1",0.496589232958126,7.89691806047606,0.387928419393955,1
"Parp10","Parp10",0.491541819697815,5.28021544921971,0.387932791863889,1
"Tmem198","Tmem198",0.51926400134575,2.34008131336692,0.38795457441454,1
"Sbk1","Sbk1",0.434204604311171,4.58905979934388,0.388020098526143,1
"Rpl35a","Rpl35a",0.480938042342698,7.88641820076085,0.388133678604906,1
"Rps6kb2","Rps6kb2",0.436879626035854,4.61985829384066,0.388174214460917,1
"Lman1","Lman1",-0.485027466735437,6.46973051921805,0.388175420440183,1
"Zdhhc17","Zdhhc17",-0.451201889775596,3.78952767114218,0.388297211247056,1
"Slc39a6","Slc39a6",0.456593226741419,4.73358427606181,0.388362435170236,1
"Tcf3","Tcf3",0.475008458485233,6.59088516001977,0.388423928326581,1
"Casd1","Casd1",-0.43658255758731,4.6643435174104,0.388450666922621,1
"Socs5","Socs5",-0.535997634099982,5.19088939926298,0.388687867555854,1
"Ccdc28b","Ccdc28b",-0.487696238582312,2.36456245841759,0.388795574415141,1
"Xylt2","Xylt2",0.453602864970573,4.61661304129798,0.388797031780638,1
"Ccdc138","Ccdc138",-0.558490204326313,0.972464054759638,0.388844290427756,1
"Osbpl11","Osbpl11",-0.452892535511912,5.21792958980443,0.388882543693196,1
"Plekhb2","Plekhb2",-0.471796876923398,7.69083128585622,0.388925247042413,1
"2700097O09Rik","2700097O09Rik",0.505698148384368,1.90736605151082,0.389067358684096,1
"Atp6v0b","Atp6v0b",-0.492077658498321,7.18460102028133,0.389172767065286,1
"Farp1","Farp1",-0.608656108205491,6.33009765849445,0.389206724291615,1
"Dgat2","Dgat2",-0.439744801472574,4.36435410839557,0.389328451736442,1
"Bmp2","Bmp2",-0.603663206632383,6.58353845991288,0.389437281337859,1
"Lrp5","Lrp5",-0.600599732868757,7.41727103755908,0.389749885474253,1
"Tbc1d15","Tbc1d15",-0.437808594913478,6.20224268333279,0.38976919632745,1
"Qsox1","Qsox1",-0.489739200690305,7.07285179839372,0.390190478751198,1
"Clec16a","Clec16a",-0.432721469783809,5.00968121244312,0.390256574998603,1
"Slc39a10","Slc39a10",-0.497058569424363,5.4811475856387,0.390340782368244,1
"Ppan","Ppan",0.435717585460839,4.75215580926059,0.390372057442369,1
"Rpl18","Rpl18",0.498844187978589,9.62870690944809,0.390477159479944,1
"Kmo","Kmo",-0.511969263637291,1.91750806077716,0.390481686220548,1
"Xab2","Xab2",0.435094473447271,5.67339415162239,0.390776822734985,1
"Kmt2d","Kmt2d",0.471141099796345,7.6337581044005,0.390900101754603,1
"5530601H04Rik","5530601H04Rik",-0.512245129528093,2.26049971255077,0.390921207247775,1
"Fnbp4","Fnbp4",0.482397732225088,6.83819533916649,0.390929002221695,1
"Cfap410","Cfap410",-0.454056253930254,3.84930356269154,0.391238071751118,1
"Fbxl6","Fbxl6",0.436987153753001,5.47389145035185,0.391332831895282,1
"Acad8","Acad8",-0.447357838650266,3.90962452258966,0.391362387522338,1
"Psen2","Psen2",-0.497909926363294,5.62828339665034,0.391519951837258,1
"2610001J05Rik","2610001J05Rik",-0.439102419019665,5.30945996613886,0.391949714456866,1
"Rnf103","Rnf103",-0.426588777979715,5.25601237148236,0.391969418638076,1
"Mrps23","Mrps23",0.451832807886979,4.52225508983844,0.392178190419966,1
"Snrnp70","Snrnp70",0.477057748946985,8.05298930047416,0.392208926789022,1
"Dhx32","Dhx32",-0.53442460107977,5.87383476633664,0.392256152231629,1
"Plxna3","Plxna3",-0.565242274155409,3.85675882301201,0.392374497575616,1
"Ninj1","Ninj1",-0.465887167199776,6.5176988623024,0.392435439029447,1
"Whrn","Whrn",-0.518549345315546,4.01949909766265,0.392705823952709,1
"Slc2a1","Slc2a1",-0.470262469052236,7.92885674502865,0.392725257849935,1
"Bcat2","Bcat2",-0.441807513849721,6.06061082035385,0.392851711264353,1
"Map3k14","Map3k14",0.528361256816354,6.23570911790959,0.393017542815909,1
"Haus5","Haus5",0.444621803093486,4.25399252462553,0.393023700345871,1
"Zhx2","Zhx2",-0.48678151059808,4.83470525710729,0.393222781082413,1
"Iqgap1","Iqgap1",-0.481306474651783,10.0720816047638,0.393263923140493,1
"Col4a1","Col4a1",-0.624844285376086,9.50504196719799,0.393266949342336,1
"Rps12","Rps12",0.488005508951035,8.83008979806412,0.393379976548652,1
"Cdkn2a","Cdkn2a",0.491858087985455,5.86765960834618,0.393502014698636,1
"C9orf72","C9orf72",-0.478734195855073,4.61235575387113,0.39363901946287,1
"Fzd7","Fzd7",-0.507124703275091,5.85817265137798,0.393645732723691,1
"Mrps30","Mrps30",0.431331061405061,4.35828806791085,0.393731373791439,1
"Mrpl46","Mrpl46",-0.447163911775478,3.69188138534918,0.393823144100477,1
"Pqbp1","Pqbp1",0.445885785918194,5.31284964163145,0.394007497345599,1
"Pik3cg","Pik3cg",0.575572342126018,5.32982945304826,0.394248470188166,1
"Emc8","Emc8",-0.443587661007366,4.47633395024486,0.394256077274506,1
"Snora31","Snora31",0.497227101744709,1.65756889450219,0.394656346836647,1
"Emc9","Emc9",-0.480913031280488,2.20674841374769,0.394882902822448,1
"H1f10","H1f10",-0.479578217285172,2.74000525045095,0.395092121230251,1
"Pip4p2","Pip4p2",-0.437887783032211,5.11413251948794,0.395188840368205,1
"Spag9","Spag9",-0.4737688822845,7.28769523464202,0.395345095874695,1
"Acss1","Acss1",-0.43359692338935,5.12461933742168,0.395664906053685,1
"Rps21","Rps21",0.467800040450687,8.00156140917788,0.396348430285739,1
"Ngdn","Ngdn",0.432940423540581,4.97435583434207,0.39677373393477,1
"Zfp790","Zfp790",-0.469174139144951,2.30307451455932,0.396795974195741,1
"Slc17a5","Slc17a5",-0.491655104997241,3.62878428485959,0.396902728456418,1
"Bod1","Bod1",-0.478903344138852,4.14356427568059,0.39696125995342,1
"Slc27a1","Slc27a1",-0.45357059003804,6.01984776455852,0.396997599376274,1
"Atox1","Atox1",-0.4436717592484,6.60089669627985,0.397119485571339,1
"Slc25a28","Slc25a28",-0.434920011276725,5.53170503370818,0.39721218250692,1
"Hspa13","Hspa13",-0.42985705965006,5.62717210845858,0.397243174191052,1
"Ncbp1","Ncbp1",0.430225641190685,5.38652427882779,0.39756991450497,1
"L3mbtl2","L3mbtl2",0.430824393951949,4.2372745753734,0.397616137791706,1
"Pex6","Pex6",-0.441782603605432,6.04202676762363,0.397798235695798,1
"Sparc","Sparc",-0.605398331813661,8.78605364669337,0.397804186064366,1
"Rps19","Rps19",0.477933406820022,8.7626102864486,0.397831888694558,1
"Dchs1","Dchs1",-0.456720829766235,2.58066558075384,0.397944816755362,1
"Sde2","Sde2",-0.432128184224335,5.53444473592268,0.398253837314777,1
"Dvl2","Dvl2",0.426814982989851,4.42268868110652,0.398366985208861,1
"Ndufaf8","Ndufaf8",-0.45485919536176,2.87037696262719,0.398389054759517,1
"Disp1","Disp1",-0.47706723574718,4.16385684039975,0.398464809983842,1
"St14","St14",-0.582020099599653,7.0417153860208,0.398496374141316,1
"Myo1f","Myo1f",0.619691829664514,7.4899951860992,0.398555655332868,1
"Lysmd3","Lysmd3",0.429552008987517,4.90499252446004,0.398614868751549,1
"Agl","Agl",-0.512666280365847,4.49021286148484,0.398691552934231,1
"Eef1b2","Eef1b2",0.472875419478784,8.24710411794743,0.398761504359204,1
"Chn2","Chn2",0.53021716512286,3.28856109102475,0.398974637381707,1
"Pheta1","Pheta1",-0.534490782228537,4.13093603853021,0.399108471343089,1
"Acp2","Acp2",-0.474942571004194,5.88562281037572,0.399222551121126,1
"Cd14","Cd14",-0.532472895264847,10.7127465379222,0.399255854748276,1
"Lrrc75a","Lrrc75a",-0.508950150125833,3.45310800050499,0.399490119820676,1
"Tbc1d19","Tbc1d19",-0.475997294701445,3.68309349240925,0.399560711479102,1
"Sf3a2","Sf3a2",0.430135435207824,6.27791017020649,0.399642442889499,1
"Adam9","Adam9",-0.481014391704049,7.60211508172505,0.399677554407095,1
"Deptor","Deptor",-0.47483734759988,5.43045228388071,0.399714431397162,1
"Selenop","Selenop",-0.503417594849718,9.54228346861566,0.399766257717945,1
"Cactin","Cactin",0.425267096590608,4.79234999539066,0.39977424777325,1
"Socs4","Socs4",0.453230222458404,3.40435092148729,0.399830482925144,1
"Rab9","Rab9",-0.424520090538066,5.21191599301897,0.400068579731264,1
"Adamdec1","Adamdec1",-0.493736728776409,3.10520203416639,0.400173525250003,1
"Pgd","Pgd",-0.474785452885066,8.15461296367105,0.400493375797971,1
"Ankrd11","Ankrd11",0.461878266781138,7.94787663873262,0.400511283113108,1
"Gatad2a","Gatad2a",0.467250462932105,7.60844531023858,0.400523166595527,1
"Mycbp","Mycbp",-0.457014165126262,3.72086230869571,0.400577387158762,1
"Rnf213","Rnf213",0.528645769135888,7.3735933053565,0.400619735239163,1
"Rpl39","Rpl39",0.496065637274569,7.11419259929867,0.400732852167195,1
"Plekhg6","Plekhg6",-0.602586045312861,4.36998872024125,0.400845908845188,1
"Irak2","Irak2",-0.475390230493876,7.20842288285668,0.400904656165539,1
"Lrrc8d","Lrrc8d",-0.468611362367593,7.07822462221494,0.400915320451084,1
"Ndufc2","Ndufc2",-0.430087402011536,6.20331109354238,0.401070869653845,1
"Ppp1r13l","Ppp1r13l",-0.596578790481772,5.7619718585913,0.40123360545867,1
"Nanos1","Nanos1",0.464881617963895,3.14194680182789,0.401351342243587,1
"Tmem69","Tmem69",-0.456946760731317,2.96425153180825,0.401550885921665,1
"Rnaseh2c","Rnaseh2c",0.423853803303643,4.44478503910989,0.401761500619516,1
"Tulp4","Tulp4",-0.431323403759529,5.4759916814326,0.401861317192041,1
"Elmo1","Elmo1",0.496341356656146,6.35306521201468,0.402058156061543,1
"Cysltr1","Cysltr1",-0.479999754593623,3.49576887364804,0.402073569721199,1
"G6pdx","G6pdx",-0.46470784475534,6.79751036370469,0.402540049521395,1
"Atp6v1e1","Atp6v1e1",-0.474689915715443,7.13660729108718,0.402565752855645,1
"Acod1","Acod1",0.51682540199038,5.94280944067492,0.402688124472186,1
"Engase","Engase",-0.501918707258833,2.85638900349721,0.402805736529904,1
"2210016F16Rik","2210016F16Rik",-0.418415507517933,5.11424470018681,0.403156519606198,1
"Naglu","Naglu",-0.479183589202986,5.82443936308313,0.403189472406838,1
"Rnf130","Rnf130",-0.511864320507486,6.51081390603507,0.403212098298127,1
"Soat1","Soat1",-0.484271913014757,7.1396319147954,0.403265319577927,1
"Rad54l2","Rad54l2",0.424872737538764,4.69926518173475,0.403397318754789,1
"Naa50","Naa50",-0.433156583786811,6.61269519796361,0.403565947230075,1
"Asb7","Asb7",-0.459620108656941,3.34925693168907,0.403777020479383,1
"Kmt2e","Kmt2e",0.46459578818501,7.21152731675814,0.403792152030261,1
"Cpsf4","Cpsf4",0.418086142451567,4.83054400556154,0.404027672452497,1
"Rpusd4","Rpusd4",0.444955295126139,3.75524939253283,0.404259075341538,1
"Fads3","Fads3",-0.614944251133347,7.0468427319745,0.404479761600012,1
"Tyw5","Tyw5",-0.464506653753721,2.23593302673683,0.404564109005376,1
"Scoc","Scoc",-0.47249509514669,4.04761593470666,0.404609538718251,1
"Ppp1r8","Ppp1r8",0.427205491814603,4.59922771722925,0.404610197543291,1
"Tln1","Tln1",0.485337456219224,9.20393977543499,0.404623858801542,1
"Ankrd24","Ankrd24",-0.474154369193807,2.57562782976828,0.404638403387763,1
"Kcnq1ot1","Kcnq1ot1",-0.433889485684877,3.7480066084879,0.40471803384762,1
"Reep3","Reep3",-0.436556169154054,6.64876141643473,0.404842390004665,1
"Carmil1","Carmil1",-0.551907960003688,5.45289429054663,0.404880848611821,1
"Cpd","Cpd",-0.445457475162093,6.79910026782174,0.404907209096646,1
"Hspa5","Hspa5",-0.472488474964039,11.219782603641,0.404923474203447,1
"Akr1a1","Akr1a1",-0.478295906218896,9.2413216721273,0.404981972534183,1
"Dhx35","Dhx35",0.435431416495642,3.97124675923564,0.405052061041198,1
"Supt3","Supt3",-0.435085245071078,3.78167351009319,0.405167698049406,1
"Tspan9","Tspan9",-0.547278636829472,6.486612361407,0.405439925613997,1
"Msr1","Msr1",-0.543029863203129,5.70288967806987,0.405451655065596,1
"Taf7","Taf7",-0.444555746210154,4.17997398341531,0.405561427454495,1
"Csnk2b","Csnk2b",0.442295922195661,4.47449368721441,0.405672212611197,1
"Tmem273","Tmem273",-0.565044094725961,3.60072161993171,0.405878767442821,1
"Phf12","Phf12",0.421216070458212,6.25108385847332,0.405879173162254,1
"Tmem81","Tmem81",0.491165405893371,1.4711008208529,0.405945517272637,1
"Ly96","Ly96",-0.531554127287492,2.25184807118807,0.406322860797283,1
"Vat1","Vat1",-0.513714518960167,7.95928296954612,0.406596962102082,1
"Tesk2","Tesk2",-0.458234459965592,2.31844822262645,0.406651273348804,1
"Aim2","Aim2",0.596946820270033,4.84633605252591,0.406669199842534,1
"Siglec1","Siglec1",-0.762257183004568,6.47317676903263,0.406672828904055,1
"Slc8b1","Slc8b1",-0.463023031035948,5.18875215692367,0.406739843514702,1
"Reps1","Reps1",0.432814202461439,5.93349882455038,0.406749391026668,1
"Tmem65","Tmem65",-0.415377946946209,5.04924492858496,0.406752161234496,1
"Prkar1a","Prkar1a",0.472806615096553,8.33544494816171,0.406760568527801,1
"Col4a2","Col4a2",-0.599212538860625,8.63322676148189,0.407063765572792,1
"Fgfrl1","Fgfrl1",-0.500435051939022,3.61653607289794,0.407123509298368,1
"Sart1","Sart1",0.429958981064614,6.142691152602,0.407363157238987,1
"Pitpnm1","Pitpnm1",0.479657725198903,7.48361560791454,0.40741169784633,1
"Ube2l6","Ube2l6",-0.486885874084145,4.69005226714452,0.407442165276669,1
"Acad9","Acad9",-0.456218008925974,4.58537640373594,0.407494900189473,1
"Tubgcp4","Tubgcp4",0.426269044795031,4.28921624875667,0.407511413286192,1
"Snx8","Snx8",-0.424948191428055,5.12496905863746,0.407568345048081,1
"Asns","Asns",-0.497489163458093,5.09612604935619,0.407568482101147,1
"Rpl41","Rpl41",0.473200505606246,9.52287887395353,0.407621360631198,1
"Sgk3","Sgk3",-0.522221173009936,4.48436835504062,0.407787468761133,1
"Arl10","Arl10",-0.448036423130086,3.67328056999135,0.407944689776079,1
"Qsox2","Qsox2",-0.447693750443496,3.86171649773333,0.408005603916863,1
"Slc16a13","Slc16a13",-0.472468845452101,1.94700547160894,0.40802913293602,1
"Samd4b","Samd4b",-0.451893690537139,7.40206021769077,0.408156806651506,1
"Alg9","Alg9",-0.417960618270209,4.66582171258653,0.408279943919676,1
"Tbl1xr1","Tbl1xr1",0.440161649014676,6.16260561413149,0.408366048095864,1
"Tmem35b","Tmem35b",-0.514737443432116,3.01380628783119,0.408401056133251,1
"Rnf13","Rnf13",-0.473088469108218,7.14081294355166,0.408602913463538,1
"Cdkn2aip","Cdkn2aip",0.424447316645628,4.68584571301822,0.408736604597384,1
"Mdm1","Mdm1",0.46172435186997,2.78327101326623,0.408797955497634,1
"Nbeal1","Nbeal1",-0.461827843025751,4.91591374371556,0.408801471245386,1
"Thsd1","Thsd1",-0.513937325086247,2.26073520106934,0.408925638401972,1
"Siae","Siae",-0.427616129698284,4.37596873393412,0.409039763570845,1
"Clu","Clu",-0.72997032547852,12.8633651060373,0.409056785171988,1
"Adrb2","Adrb2",-0.433353354937574,5.48962602420073,0.409289526041278,1
"Nr1d2","Nr1d2",-0.431024376139921,5.46105346220134,0.409533769295968,1
"Bub1b","Bub1b",0.435907008982446,5.17989923687686,0.409563934832326,1
"Tmem268","Tmem268",-0.434251188450849,5.13895667672283,0.409694376980805,1
"Tmc4","Tmc4",-0.601710283738306,7.60621215970979,0.409809287416161,1
"Snhg20","Snhg20",0.462889125974294,2.52123707183586,0.409815402411156,1
"Cdkl2","Cdkl2",-0.44437482004743,3.34148513961556,0.409976721739511,1
"E2f4","E2f4",0.422642455867806,6.50614261637952,0.41000912490788,1
"Trip4","Trip4",0.426781399944366,4.7190847830206,0.410021270579513,1
"Zeb2","Zeb2",-0.565405236268311,6.62904178336229,0.410052839379219,1
"Havcr2","Havcr2",-0.562695293354793,6.23780083037242,0.410216644308909,1
"Mfsd1","Mfsd1",-0.461501667533289,6.72638051466186,0.410259576749244,1
"Arhgap22","Arhgap22",-0.419358238662545,5.09609074203911,0.410290036121164,1
"Snrnp200","Snrnp200",0.446413620486314,7.22462971377883,0.410357921995881,1
"Pira6","Pira6",-0.764929922256938,3.55178423669705,0.410483106949401,1
"Serac1","Serac1",-0.467339978176947,3.37637567111462,0.410679645324801,1
"Myo10","Myo10",-0.557771060812981,5.65900042914627,0.410985391337617,1
"Mrps16","Mrps16",0.423420611035103,4.49266616879489,0.411032592926998,1
"Apoe","Apoe",-0.492715610738621,11.7049039758043,0.411185213525684,1
"Tmem218","Tmem218",-0.548630325000653,1.50776585982019,0.411299973828535,1
"Ift57","Ift57",-0.438061032699554,3.40904595530909,0.411606753900694,1
"AA467197","AA467197",0.458231492584005,6.23332101409515,0.411643996145167,1
"Cog2","Cog2",0.412007442441784,4.64070897670304,0.41176933204456,1
"Lrrc8b","Lrrc8b",-0.408423809365157,5.36187136986578,0.411906776684699,1
"Manea","Manea",-0.437902492444421,3.90684559258573,0.411964587966271,1
"5730409E04Rik","5730409E04Rik",-0.496157273527066,1.8143744963882,0.412034390576825,1
"Eif2ak2","Eif2ak2",-0.426105807580424,4.33335638665903,0.412103342558804,1
"Tspan4","Tspan4",-0.434523853610088,4.76136177664247,0.412115079223365,1
"Slfn4","Slfn4",-0.523507029103485,4.28806218722598,0.412173415240306,1
"Plau","Plau",-0.481913250064031,7.91604066350791,0.412309804962907,1
"Pttg1ip","Pttg1ip",-0.447124098998918,7.39394710684324,0.412469065587591,1
"Zfp956","Zfp956",0.443300062686145,2.93536498492337,0.412473568148011,1
"Msmo1","Msmo1",-0.478476975520655,5.95574448782831,0.412571826109707,1
"Diaph2","Diaph2",-0.498886421700651,5.54837158538692,0.41261653474102,1
"Mmgt1","Mmgt1",-0.416579406491563,4.89917168149866,0.412750264440975,1
"Nipsnap1","Nipsnap1",0.504111839161842,4.9708219862954,0.41290297619104,1
"Itga6","Itga6",-0.539808986827682,7.60877987717743,0.412918817048509,1
"Hirip3","Hirip3",0.433526505718291,4.0019997418117,0.412924632310236,1
"Zscan22","Zscan22",-0.471930856274145,2.46023140321379,0.412985547756709,1
"Clec4d","Clec4d",-0.484901997664414,5.4204368578389,0.413085573130186,1
"Srp54a","Srp54a",0.502283493975927,1.549644340554,0.413160183110082,1
"Eif4e","Eif4e",-0.420265425615658,6.55864267106326,0.413161940335008,1
"Dnajb2","Dnajb2",-0.414426825622672,5.2197289180614,0.413277929465473,1
"Mboat7","Mboat7",-0.428135831473334,6.7317692098359,0.413406465324038,1
"F10","F10",-0.590736350904159,5.97959593374576,0.413429895298795,1
"Wwc2","Wwc2",-0.557772561088403,5.94491586952551,0.413430774215507,1
"Dock9","Dock9",-0.463927262808178,6.33672230766837,0.413494359202872,1
"Plbd2","Plbd2",-0.426884183733558,6.49324164512526,0.413524834310598,1
"Clcn7","Clcn7",-0.480353392701232,6.50623231684846,0.41371425922113,1
"Gpatch2l","Gpatch2l",0.417358135697087,4.70099834740342,0.414009022258879,1
"Pfkfb3","Pfkfb3",-0.432703010085545,6.61435612349701,0.414067639075278,1
"Igsf8","Igsf8",-0.455705476274134,7.00447987505778,0.414113078649929,1
"Hacd1","Hacd1",-0.55696548939313,2.76013032997835,0.414144385491069,1
"Nsa2","Nsa2",0.462941663281558,6.92853045371354,0.414267923660476,1
"Spata2l","Spata2l",0.488682254634926,2.34951617510586,0.414277787348499,1
"Cib1","Cib1",-0.426848698116679,6.17300050234233,0.414393495122973,1
"Ncf1","Ncf1",-0.545885055135282,7.51025946983605,0.414661397189925,1
"Zfp62","Zfp62",0.421770042809398,4.50085358835391,0.414773006247465,1
"Riox1","Riox1",0.42970135940214,3.1449914639348,0.414913532051966,1
"Acbd6","Acbd6",0.420835676615357,5.35613118757548,0.414930773838192,1
"Osgin1","Osgin1",-0.55130281801932,7.81301485845165,0.415032450049434,1
"Tiprl","Tiprl",0.420834286841999,5.1033140634948,0.415090927289455,1
"Ost4","Ost4",-0.413184979457276,5.92838352388065,0.415140535107393,1
"Midn","Midn",-0.473558675840096,8.41226932887612,0.415223101908612,1
"Zfp646","Zfp646",0.419519377202016,4.79283750618322,0.415248962505165,1
"AI506816","AI506816",0.46804348135651,3.21039596322652,0.415262206940711,1
"H2bc6","H2bc6",0.532021710602684,2.21681970695164,0.415288429800974,1
"Sertad1","Sertad1",-0.432209523351902,6.70422147149141,0.415354531681934,1
"Tm9sf2","Tm9sf2",-0.464962473274226,6.86244978091647,0.415459796261823,1
"Rab2a","Rab2a",-0.450114964349766,7.04767218904681,0.4156563089911,1
"Exosc7","Exosc7",-0.438898082990317,4.85392154272882,0.415705539295762,1
"Fgd2","Fgd2",-0.435340260077638,5.44894944726034,0.415803117303726,1
"Evl","Evl",0.631530917660328,6.37306026649042,0.416023421370659,1
