"","genes","logFC","logCPM","PValue","FDR"
"Ubash3a","Ubash3a",3.43667055068981,4.97769396463298,1.32648673488656e-05,0.00216237436070371
"Cd160","Cd160",2.92206150866824,3.10195534028112,1.69899023602671e-05,0.0027282740223002
"1500009L16Rik","1500009L16Rik",3.20637151909126,3.35214966614293,1.79002465897727e-05,0.00283218754499065
"Sh2d2a","Sh2d2a",3.59132231647448,8.00828225559312,1.934099100513e-05,0.00301579307571296
"Ikzf3","Ikzf3",3.19183426060513,4.17971717602768,2.12790457045291e-05,0.00327058932478612
"Gimap4","Gimap4",3.13549226438984,6.77274896659269,2.21335887125404e-05,0.00334814738869149
"Cd5","Cd5",3.33588809238007,3.36768826141143,2.2406042567691e-05,0.00334814738869149
"Nlrc3","Nlrc3",2.93091002202246,5.44068493698945,2.39125922879485e-05,0.00352432301953476
"Ggt1","Ggt1",3.22593078222493,5.59019159972756,2.69907162355258e-05,0.00392423129700031
"Stk26","Stk26",2.7312723853373,4.42060184767302,2.95271696410301e-05,0.00423577090890457
"Ehd3","Ehd3",3.20389686672655,4.46406719084505,2.99583097952473e-05,0.00424107177746139
"Ctla2a","Ctla2a",3.13875197794824,7.23648620586786,3.04991480183937e-05,0.00426156277311556
"Ly6g5b","Ly6g5b",2.99026434924057,4.17808901894726,3.52872220216804e-05,0.00486737463758025
"Rasgrp2","Rasgrp2",2.86368167324885,5.84117605359434,3.72437098091389e-05,0.00496898335334286
"Gramd3","Gramd3",3.30936608041219,7.28652832786066,3.7245687140078e-05,0.00496898335334286
"Gpr68","Gpr68",2.97803614951961,5.49484600363131,3.7409392287459e-05,0.00496898335334286
"Fam78a","Fam78a",2.77922684926428,4.97958577731515,3.79537989561524e-05,0.00497981613377126
"Il2ra","Il2ra",3.01880367010814,6.03066261776491,4.21781391853156e-05,0.00546740481319049
"Ccl5","Ccl5",3.44660866420635,9.12944567506415,4.34103622485807e-05,0.00556014389800571
"Lef1","Lef1",3.39510427067303,3.91824916603719,4.81254256707469e-05,0.00609154652695959
"Gzmk","Gzmk",3.13844666236156,4.04505792023808,5.53529868209284e-05,0.0069249161070508
"Septin6","Septin6",2.93604695122149,6.52175264579454,5.69569321603517e-05,0.00704367394383017
"Tnik","Tnik",2.76083250722955,3.42840559118201,5.99214530053061e-05,0.00732200796213866
"Gimap9","Gimap9",2.78515587852063,4.4980824939385,6.05687060721574e-05,0.00732200796213866
"Tigit","Tigit",3.12714220184053,5.00743179192643,7.04821682899605e-05,0.00842575165146317
"Fcho1","Fcho1",2.55621704180697,6.23682470363938,7.20616134723017e-05,0.0085198999928406
"Il27ra","Il27ra",2.92155990043105,5.37516714554898,8.28427971465457e-05,0.00968810494021398
"Gpr174","Gpr174",2.79632702298278,2.87585742379563,9.16477579729851e-05,0.0106025615917349
"Grap","Grap",2.85271317288599,5.47651757657051,9.5970782356998e-05,0.0109845707167973
"Ptpn22","Ptpn22",2.98624965688668,6.97138482285004,0.00010103891733383,0.011442923279944
"Slamf1","Slamf1",3.05153359714198,2.73874865394793,0.000103298951708455,0.0115770148065757
"Sytl3","Sytl3",3.00003898041147,4.2082136578662,0.000105068990779599,0.0116539924927599
"Clec2i","Clec2i",2.8696095714976,2.99437159140399,0.000112326066506777,0.012111703541141
"Dusp2","Dusp2",2.78097433441387,8.09661199873365,0.000112771177378086,0.012111703541141
"Jakmip1","Jakmip1",2.91925463999829,4.38201291104981,0.000113513910723209,0.012111703541141
"Slco4a1","Slco4a1",2.76939255075789,3.10660281412972,0.000113698490348103,0.012111703541141
"Ppp1r16b","Ppp1r16b",3.05367163402754,6.62492576927395,0.000126336696330658,0.0133260442727603
"Nxpe3","Nxpe3",2.83899229174605,3.02816301037335,0.00012934349830147,0.0135107446429662
"Ifi208","Ifi208",2.73439921773154,3.29836241139376,0.000141015891394387,0.0145883651491559
"Gypc","Gypc",2.8872634752377,3.48582751740781,0.000148724070006475,0.0152392597066634
"Gimap6","Gimap6",2.77027602524497,6.45914774953657,0.000168799035823738,0.0171331021361094
"Cysltr2","Cysltr2",2.82704212013023,3.24030187619395,0.00017593528003975,0.0176905390462399
"Prf1","Prf1",2.9279297205599,2.40199662223378,0.000179343398448537,0.0178662557769242
"Ly6c2","Ly6c2",2.66248470012499,7.78271979041824,0.000209816416847811,0.0207102277877578
"Klk8","Klk8",2.73739470310796,4.47124502890715,0.000226925447136935,0.0221953716886026
"Fndc9","Fndc9",2.79881768260106,2.74414525069359,0.000229375002108681,0.0222328436728586
"Il12rb1","Il12rb1",2.50999289667856,3.34805895891301,0.000234817084571341,0.0224428659274243
"Ctla2b","Ctla2b",2.66342876100122,4.65272937232354,0.000235713714081136,0.0224428659274243
"Tnfrsf18","Tnfrsf18",2.66830010981944,4.99432660337898,0.000267665574265599,0.0252615255572244
"Ptprv","Ptprv",2.82544067264603,3.90766830394494,0.000276040286512677,0.025825369065999
"Cd7","Cd7",2.92575290083965,2.60992418490273,0.000283927721752725,0.0262941043519818
"Gpr18","Gpr18",2.69125549314068,2.99967960154151,0.000285938303669659,0.0262941043519818
"Hcst","Hcst",2.67852048866153,4.43257711520552,0.000290589511925012,0.0264953606678068
"Ppp3cc","Ppp3cc",2.4271681071145,5.54650406334543,0.000322285279162612,0.0291383808278197
"Dzip1","Dzip1",2.55308190371985,3.19515020024353,0.000335137665679929,0.0300478845420863
"Baiap3","Baiap3",2.22173905963547,4.92653725611383,0.000342947937399386,0.0304940236238016
"Traf3ip3","Traf3ip3",2.51388143410001,4.33074245101225,0.000347900419571776,0.030680824706334
"Mctp2","Mctp2",2.3361085724492,3.86276537573973,0.000360382005513968,0.0315231707099576
"Lyz1","Lyz1",-1.96044372920872,5.41097153373063,0.000380681248671162,0.0330302383423631
"Gm9199","Gm9199",2.74127182695946,2.6691525058433,0.000393896136629277,0.0339034282719551
"Plcxd2","Plcxd2",2.47533269685507,4.64420385399613,0.000399769312585526,0.034135857413553
"Cd6","Cd6",2.82515029346465,3.39797630002712,0.000419589109475705,0.0355461356602292
"Slc2a3","Slc2a3",2.294918113967,6.54108703872909,0.000454551862156593,0.0382072147261155
"Flt3l","Flt3l",2.47132033920608,5.5167339319798,0.000467388387322402,0.0389816407690056
"Acap1","Acap1",2.57743773528534,7.17075341214509,0.000475733755591801,0.0391908037841358
"Pim2","Pim2",2.49099954586658,5.47271496661231,0.000480093931329074,0.0391908037841358
"Cxcr2","Cxcr2",-2.00135339254249,2.59684840179106,0.00048082406352876,0.0391908037841358
"Rrm2","Rrm2",2.11910182943516,5.62989877889072,0.000498612267629899,0.040335108176166
"Lta","Lta",2.54955323555834,2.93899269449938,0.000512447726076058,0.0411449633197933
"Rnf125","Rnf125",2.40491982299315,6.07862393398474,0.000518160274949784,0.0412954548013683
"H2-Q10","H2-Q10",2.57141256271816,3.0727205090872,0.000529703270270636,0.0416226694149577
"Prr7","Prr7",2.59416809124842,5.40526481445998,0.000530003319067684,0.0416226694149577
"P2ry10","P2ry10",2.68033328898282,6.88137566119935,0.000541473239975392,0.0422152941224293
"Dnah8","Dnah8",2.54530441202465,3.46823277163418,0.000548562677652815,0.0424603298479614
"Lockd","Lockd",2.46005441545197,2.28672231735911,0.000592203677856024,0.0455108526432354
"Ms4a6b","Ms4a6b",2.51268508052645,6.89768728445593,0.000630085802714795,0.0480786748326843
"Padi2","Padi2",2.08743030235081,6.12963041305587,0.000662750134623525,0.050214990833905
"A930024E05Rik","A930024E05Rik",2.53661798789946,2.14331622882183,0.000675532816659189,0.0508255774436099
"Lime1","Lime1",2.14920740217429,6.30220647581328,0.000714658930057348,0.0533959404756042
"S100a4","S100a4",2.37997099383851,7.6934607601231,0.000736726211218474,0.0546650848724108
"Ets1","Ets1",2.43458339734317,8.06020357730595,0.000767608984732044,0.0565664730598087
"Agap2","Agap2",2.2373602852249,5.25258859734186,0.000892971374775848,0.0653570001443085
"Cmah","Cmah",2.28031128300695,4.12934572044935,0.000953228560717231,0.0692958519240317
"Ifi206","Ifi206",2.61865639329921,4.01044553094865,0.000969889753385739,0.0698862876936028
"Stat4","Stat4",2.54268731717579,4.94443126778626,0.000974341774704008,0.0698862876936028
"Slc28a2","Slc28a2",2.37088244098264,4.47645318840182,0.00101768206113072,0.0725115317596385
"Sacs","Sacs",2.15083713106858,3.09808531184645,0.00106516190677417,0.0753952431248898
"Myb","Myb",2.43026612093889,2.21190724862517,0.00107362431528021,0.0754975425365997
"Acsbg1","Acsbg1",2.20695145876542,5.47848810612836,0.00111542410362126,0.0779275839666308
"Scml4","Scml4",2.37413123116296,2.55001654367903,0.00117978417993734,0.0813775498072721
"Adgrg5","Adgrg5",2.19886839524905,5.90177376479711,0.00117993287200803,0.0813775498072721
"Iigp1","Iigp1",-1.8500622531145,4.52923427849802,0.00120773747869515,0.0826924486258698
"Xcl1","Xcl1",2.59600038347622,5.3513821503898,0.00121437000491565,0.0826924486258698
"Rasal3","Rasal3",2.3348007769824,7.0635076503132,0.00124961114932032,0.0845570211040085
"Kif21b","Kif21b",2.22614628854545,6.6545658180507,0.00127698944934616,0.085869559284471
"Erdr1","Erdr1",2.38950341649057,6.85909208542214,0.00128864132605995,0.086083788754025
"Nup210","Nup210",2.3021372253065,7.1070024866167,0.0012961775051726,0.086083788754025
"Edaradd","Edaradd",2.41403945649722,3.02492782100504,0.0013072381713546,0.0862743352988771
"H2-T-ps","H2-T-ps",2.42233537561713,3.30169958616771,0.00131508420754864,0.0862743352988771
"Inpp4b","Inpp4b",1.99211823321883,6.39950576685446,0.00139880282279013,0.0912104216387818
"Zdhhc2","Zdhhc2",2.36426419168771,4.05125539800287,0.00141604912739425,0.0917787503712933
