"","X67_S53","X68_S54"
"Zc3h14",51.8991601973646,66.7455729530492
"Troap",8.65735180730374,10.3184061560375
"Clca2",0,0
"1810013L24Rik",8.96643302819321,9.03520934305287
"Srsf7",183.733069121487,169.350992588291
"Fignl2",0,0
"Sema6a",0,0
"Anapc15",76.6793197870526,73.6960997558252
"Misp3",11.373903270695,12.734180501492
"Nmb",35.1919539083421,46.136643910077
"Tcerg1",37.0801963725661,38.641122811064
"Zfp712",0.255592276496356,0.236528060348002
"Fam129c",1.19240353274136,0.983659403268361
"Atp5g3",1333.89778749581,1154.44543821485
"Pifo",0,0
"Olfr1045",0,0
"Olfr1049",0,0
"Vsx1",0,0
"Fyco1",5.97401010663117,5.99396933297604
"Tlr3",0,0
"Olfr1444",0.088081713341192,0
"Olfr150",0,0
"Ifi44",0.0295762311324044,0.0328442252389495
"Trafd1",45.8256434558087,50.9616940476428
"Erfl",0,0
"Krt80",0,0
"Armc8",6.64651531238339,7.66795051186694
"Ppil4",23.2418929788692,28.371524503932
"C530005A16Rik",0.13884802103045,0.115642413741572
"Katnbl1",8.09508524692411,10.3900878066778
"Gm21693",0,0
"Spag9",16.6127666871383,15.6542535586398
"Gm5860",0,0
"Taz",27.1251312312253,29.3538678101603
"Gfpt1",9.67658259241264,11.3168909872746
"Abcc5",1.61037709607654,3.1068166868015
"Kcnmb4",0,0
"Gm4013",9.5534781393139,9.25472893818371
"Hpcal1",45.0910207498513,51.8332510772654
"Tbc1d31",5.87043886918757,6.74234314487953
"Tmem176b",6.60290442616256,11.8236325569568
"Mir5110",0,0
"Mir5108",0,0
"Cyp3a13",0.286153789534837,0.158886023617862
"Akap7",1.74400189472642,1.62341324768424
"Ablim1",74.6227029721734,114.297718030388
"Lcn5",0,0
"Ulk1",4.39496328017731,7.09575108237701
"Cyp4b1",0,0
"Golga3",6.81063693817404,9.54676339537528
"Mir1193",0,0
"Wdyhv1",17.7737700224794,24.5243427203493
"Traf1",173.661382083222,200.272868942846
"Atoh1",0,0
"Rxra",1.19118189721568,1.16818725158336
"Dapk3",123.917063032108,104.40379705874
"Mir7002",0,0
"Mir6998",1.32122570011788,0
"Ap3m2",5.92665188584749,5.25437500775379
"Sirt2",63.0443799450773,67.4902286119011
"Inhbc",0,0
"Slit3",0,0
"Cts3",0,0
"Olfr74",0,0
"Dcakd",12.8268352683556,11.4500832854462
"Vps35l",53.0233692209454,59.8534355897672
"Cyhr1",24.6007075886303,25.7051596877937
"Taf10",552.813399408899,489.35530995367
"Hagh",43.3378570805489,44.5996052070431
"Ogfod3",12.9252650952803,16.0154044015521
"Syn1",2.07909030183504,2.27959163297112
"Glyatl3",0,0
"Slx",0,0
"Ccl27a",1.27842141177713,0.550487861525756
"Sqor",3.98632668378423,8.13814212970691
"Fundc2",25.8783587604812,26.5781090712599
"Rab5if",369.319074178474,362.818050771659
"H1f5",31.5230474345505,30.2755917245442
"Ankrd2",0,0
"Pop4",81.9116401101088,86.5534885611015
"Carnmt1",14.8603188582504,19.0135125798751
"Iqcm",0,0
"Clcc1",27.4110291917789,29.9181058422238
"Magea2",0,0
"Ilf3",23.6597844588952,27.0105305526698
"Tpd52l2",29.7065949310184,28.2836264934207
"Arhgap25",16.8601168394118,21.3222583813032
"Banf1",365.790460168285,307.723984709857
"Tbc1d23",3.14856219409936,3.67928061164839
"4930473A02Rik",0,0.0666441731427655
"Pard3",0.00988987658567769,0
"Rorc",0,0
"Krtap4-6",0,0
"1700017L05Rik",0,0
"1700123J17Rik",0,0
"Evi5l",6.33958640896837,7.87331751188456
"Pex5l",0,0
"Mtmr1",26.9601460429459,32.1795527137011
"Mtor",6.10945831593775,6.9593187496621
"Zfp758",2.01871203138387,3.15741896295079
"Plekhh2",0,0
"Adgrl3",0,0
"Golga5",36.3933485749906,38.3113513819633
"Plekhb1",0.0355138365424377,0.118313700073276
"Nufip1",20.9161930663855,20.9116636544964
"Gm9866",0,0
"Smap1",36.1201643554752,40.9449439607089
"Tepp",0,0.318310643925955
"Acox2",0,0
"Hars2",13.653473656998,12.8360957373994
"Gpa33",0,0
"Sdhb",667.376937887903,647.477480341692
"Gmpr",0.0533828565704194,0.118562676714844
"Krt90",0,0
"Me1",12.6707650033111,12.2857052000048
"Klk11",0.116712829271973,0.129608888831134
"Magt1",50.6280792453665,57.4951297529608
"Mcam",1.60813086598027,1.52606399655372
"Pbld1",0,0
"Tab2",17.2540308433208,19.7117410195564
"Mettl27",1.45840711982657,1.94346271041373
"Trmt1",20.2034284200883,15.7285246929912
"Vps37c",12.38452345114,13.8516434556356
"Sec23a",10.0243336468535,14.8121379486089
"Rara",50.8831757069597,50.2511196088591
"Med1",7.71042875304001,9.39140133459492
"Ap5b1",11.0878673649612,14.255595881617
"Bag5",28.6587303958503,27.3270640836312
"Pdcd2l",52.2501263091028,45.7285168555801
"Ctcf",45.2762585720751,50.5737579581074
"Mnd1",6.38542031727451,4.94219157674509
"Tktl1",0,0.190007365354425
