## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/4397S_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/4397S_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/4397S_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 29 02:28:10 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	13881612	3854564	0	0	7446635	0	0.536439	7707831

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3281993	3281993
2.0	1.165138	1684061	1684061
3.0	1.192408	773965	773965
4.0	1.196912	333965	333965
5.0	1.197655	144266	144266
6.0	1.197778	66953	66953
7.0	1.197798	36030	36030
8.0	1.197802	21728	21728
9.0	1.197802	15050	15050
10.0	1.197802	10766	10766
11.0	1.197802	8406	8406
12.0	1.197802	6580	6580
13.0	1.197802	5466	5466
14.0	1.197802	4540	4540
15.0	1.197802	3886	3886
16.0	1.197802	3164	3164
17.0	1.197802	2802	2802
18.0	1.197802	2333	2333
19.0	1.197802	2135	2135
20.0	1.197802	1936	1936
21.0	1.197802	1625	1625
22.0	1.197802	1557	1557
23.0	1.197802	1365	1365
24.0	1.197802	1219	1219
25.0	1.197802	1127	1127
26.0	1.197802	965	965
27.0	1.197802	980	980
28.0	1.197802	879	879
29.0	1.197802	792	792
30.0	1.197802	760	760
31.0	1.197802	605	605
32.0	1.197802	568	568
33.0	1.197802	566	566
34.0	1.197802	540	540
35.0	1.197802	477	477
36.0	1.197802	457	457
37.0	1.197802	420	420
38.0	1.197802	403	403
39.0	1.197802	377	377
40.0	1.197802	341	341
41.0	1.197802	325	325
42.0	1.197802	267	267
43.0	1.197802	299	299
44.0	1.197802	277	277
45.0	1.197802	280	280
46.0	1.197802	255	255
47.0	1.197802	237	237
48.0	1.197802	232	232
49.0	1.197802	236	236
50.0	1.197802	217	217
51.0	1.197802	208	208
52.0	1.197802	202	202
53.0	1.197802	183	183
54.0	1.197802	160	160
55.0	1.197802	160	160
56.0	1.197802	163	163
57.0	1.197802	165	165
58.0	1.197802	164	164
59.0	1.197802	135	135
60.0	1.197802	135	135
61.0	1.197802	138	138
62.0	1.197802	126	126
63.0	1.197802	114	114
64.0	1.197802	104	104
65.0	1.197802	108	108
66.0	1.197802	103	103
67.0	1.197802	99	99
68.0	1.197802	95	95
69.0	1.197802	99	99
70.0	1.197802	79	79
71.0	1.197802	96	96
72.0	1.197802	80	80
73.0	1.197802	90	90
74.0	1.197802	73	73
75.0	1.197802	67	67
76.0	1.197802	81	81
77.0	1.197802	75	75
78.0	1.197802	61	61
79.0	1.197802	58	58
80.0	1.197802	72	72
81.0	1.197802	74	74
82.0	1.197802	49	49
83.0	1.197802	42	42
84.0	1.197802	50	50
85.0	1.197802	60	60
86.0	1.197802	54	54
87.0	1.197802	48	48
88.0	1.197802	43	43
89.0	1.197802	38	38
90.0	1.197802	65	65
91.0	1.197802	51	51
92.0	1.197802	37	37
93.0	1.197802	47	47
94.0	1.197802	49	49
95.0	1.197802	41	41
96.0	1.197802	40	40
97.0	1.197802	41	41
98.0	1.197802	46	46
99.0	1.197802	33	33
100.0	1.197802	30	30
101.0	0	35	35
102.0	0	45	45
103.0	0	35	35
104.0	0	33	33
105.0	0	28	28
106.0	0	31	31
107.0	0	35	35
108.0	0	22	22
109.0	0	30	30
110.0	0	24	24
111.0	0	21	21
112.0	0	39	39
113.0	0	24	24
114.0	0	34	34
115.0	0	26	26
116.0	0	25	25
117.0	0	27	27
118.0	0	22	22
119.0	0	17	17
120.0	0	30	30
121.0	0	15	15
122.0	0	20	20
123.0	0	26	26
124.0	0	20	20
125.0	0	27	27
126.0	0	11	11
127.0	0	21	21
128.0	0	24	24
129.0	0	20	20
130.0	0	21	21
131.0	0	21	21
132.0	0	13	13
133.0	0	11	11
134.0	0	17	17
135.0	0	17	17
136.0	0	11	11
137.0	0	13	13
138.0	0	16	16
139.0	0	9	9
140.0	0	16	16
141.0	0	13	13
142.0	0	9	9
143.0	0	10	10
144.0	0	17	17
145.0	0	14	14
146.0	0	10	10
147.0	0	13	13
148.0	0	16	16
149.0	0	10	10
150.0	0	10	10
151.0	0	7	7
152.0	0	8	8
153.0	0	15	15
154.0	0	8	8
155.0	0	8	8
156.0	0	9	9
157.0	0	12	12
158.0	0	9	9
159.0	0	9	9
160.0	0	5	5
161.0	0	12	12
162.0	0	12	12
163.0	0	10	10
164.0	0	8	8
165.0	0	4	4
166.0	0	6	6
167.0	0	14	14
168.0	0	10	10
169.0	0	10	10
170.0	0	5	5
171.0	0	16	16
172.0	0	8	8
173.0	0	7	7
174.0	0	7	7
175.0	0	7	7
176.0	0	7	7
177.0	0	9	9
178.0	0	8	8
179.0	0	7	7
180.0	0	5	5
181.0	0	7	7
182.0	0	7	7
183.0	0	4	4
184.0	0	6	6
185.0	0	9	9
186.0	0	7	7
187.0	0	7	7
188.0	0	5	5
189.0	0	8	8
190.0	0	4	4
191.0	0	8	8
192.0	0	5	5
193.0	0	6	6
194.0	0	6	6
195.0	0	8	8
196.0	0	6	6
197.0	0	3	3
198.0	0	3	3
199.0	0	7	7
200.0	0	2	2
201.0	0	4	4
202.0	0	3	3
203.0	0	5	5
204.0	0	4	4
205.0	0	12	12
206.0	0	2	2
207.0	0	6	6
208.0	0	6	6
209.0	0	3	3
210.0	0	5	5
211.0	0	5	5
212.0	0	1	1
213.0	0	6	6
214.0	0	3	3
215.0	0	3	3
216.0	0	5	5
217.0	0	2	2
218.0	0	7	7
219.0	0	4	4
220.0	0	3	3
221.0	0	5	5
222.0	0	4	4
223.0	0	6	6
224.0	0	3	3
225.0	0	3	3
226.0	0	3	3
227.0	0	6	6
228.0	0	4	4
229.0	0	3	3
230.0	0	3	3
231.0	0	2	2
232.0	0	6	6
233.0	0	4	4
234.0	0	2	2
235.0	0	3	3
236.0	0	3	3
237.0	0	2	2
238.0	0	3	3
239.0	0	3	3
240.0	0	3	3
241.0	0	3	3
242.0	0	4	4
243.0	0	2	2
244.0	0	2	2
245.0	0	5	5
246.0	0	2	2
247.0	0	2	2
248.0	0	1	1
249.0	0	1	1
250.0	0	1	1
252.0	0	6	6
253.0	0	1	1
254.0	0	1	1
257.0	0	2	2
258.0	0	6	6
259.0	0	2	2
260.0	0	5	5
261.0	0	1	1
262.0	0	1	1
264.0	0	5	5
265.0	0	2	2
266.0	0	4	4
267.0	0	3	3
268.0	0	2	2
269.0	0	2	2
270.0	0	3	3
272.0	0	4	4
273.0	0	3	3
274.0	0	1	1
275.0	0	1	1
276.0	0	4	4
277.0	0	1	1
278.0	0	2	2
280.0	0	4	4
281.0	0	3	3
282.0	0	1	1
283.0	0	3	3
284.0	0	2	2
285.0	0	4	4
286.0	0	5	5
287.0	0	2	2
288.0	0	1	1
289.0	0	2	2
290.0	0	1	1
292.0	0	1	1
293.0	0	1	1
294.0	0	1	1
295.0	0	2	2
296.0	0	1	1
297.0	0	2	2
298.0	0	3	3
299.0	0	2	2
300.0	0	1	1
301.0	0	1	1
302.0	0	2	2
303.0	0	1	1
304.0	0	1	1
310.0	0	1	1
311.0	0	3	3
312.0	0	1	1
314.0	0	2	2
316.0	0	3	3
318.0	0	1	1
319.0	0	1	1
322.0	0	2	2
323.0	0	1	1
324.0	0	2	2
327.0	0	1	1
328.0	0	1	1
329.0	0	5	5
331.0	0	1	1
332.0	0	1	1
333.0	0	1	1
334.0	0	2	2
335.0	0	1	1
336.0	0	1	1
337.0	0	1	1
338.0	0	2	2
339.0	0	1	1
342.0	0	1	1
346.0	0	1	1
348.0	0	1	1
349.0	0	1	1
355.0	0	1	1
356.0	0	2	2
357.0	0	3	3
358.0	0	1	1
360.0	0	3	3
361.0	0	1	1
362.0	0	1	1
364.0	0	1	1
365.0	0	2	2
366.0	0	1	1
367.0	0	1	1
369.0	0	1	1
372.0	0	1	1
376.0	0	1	1
378.0	0	1	1
382.0	0	1	1
385.0	0	1	1
386.0	0	1	1
388.0	0	1	1
391.0	0	1	1
394.0	0	2	2
396.0	0	1	1
401.0	0	2	2
402.0	0	2	2
403.0	0	1	1
405.0	0	2	2
406.0	0	2	2
407.0	0	1	1
411.0	0	2	2
414.0	0	1	1
415.0	0	3	3
416.0	0	1	1
417.0	0	1	1
419.0	0	1	1
420.0	0	2	2
425.0	0	1	1
427.0	0	2	2
428.0	0	1	1
432.0	0	1	1
434.0	0	1	1
442.0	0	2	2
449.0	0	2	2
467.0	0	1	1
470.0	0	1	1
474.0	0	1	1
480.0	0	1	1
486.0	0	2	2
489.0	0	2	2
494.0	0	1	1
502.0	0	1	1
504.0	0	1	1
508.0	0	1	1
513.0	0	1	1
514.0	0	2	2
518.0	0	1	1
521.0	0	1	1
524.0	0	1	1
548.0	0	1	1
556.0	0	1	1
558.0	0	1	1
568.0	0	1	1
571.0	0	1	1
578.0	0	1	1
582.0	0	1	1
584.0	0	1	1
601.0	0	1	1
613.0	0	1	1
635.0	0	1	1
646.0	0	1	1
665.0	0	1	1
681.0	0	1	1
714.0	0	1	1
723.0	0	1	1
749.0	0	2	2
755.0	0	1	1
764.0	0	1	1
789.0	0	1	1
800.0	0	1	1
809.0	0	1	1
851.0	0	1	1
853.0	0	1	1
860.0	0	1	1
861.0	0	1	1
1039.0	0	1	1
1098.0	0	1	1
1806.0	0	1	1

