## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/4202S_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/4202S_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/4202S_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 29 03:29:19 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	10966106	3984688	0	0	5695942	0	0.519413	6446588

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	2922385	2922385
2.0	1.182488	1336396	1336396
3.0	1.21579	551844	551844
4.0	1.221867	216204	216204
5.0	1.222976	87945	87945
6.0	1.223178	40885	40885
7.0	1.223215	22663	22663
8.0	1.223222	14607	14607
9.0	1.223223	10476	10476
10.0	1.223223	8189	8189
11.0	1.223223	6560	6560
12.0	1.223223	5429	5429
13.0	1.223223	4326	4326
14.0	1.223223	3708	3708
15.0	1.223223	3223	3223
16.0	1.223223	2748	2748
17.0	1.223223	2431	2431
18.0	1.223223	2087	2087
19.0	1.223223	1861	1861
20.0	1.223223	1718	1718
21.0	1.223223	1484	1484
22.0	1.223223	1354	1354
23.0	1.223223	1220	1220
24.0	1.223223	1124	1124
25.0	1.223223	986	986
26.0	1.223223	963	963
27.0	1.223223	883	883
28.0	1.223223	807	807
29.0	1.223223	832	832
30.0	1.223223	685	685
31.0	1.223223	645	645
32.0	1.223223	592	592
33.0	1.223223	529	529
34.0	1.223223	485	485
35.0	1.223223	523	523
36.0	1.223223	438	438
37.0	1.223223	449	449
38.0	1.223223	406	406
39.0	1.223223	363	363
40.0	1.223223	341	341
41.0	1.223223	304	304
42.0	1.223223	314	314
43.0	1.223223	288	288
44.0	1.223223	291	291
45.0	1.223223	271	271
46.0	1.223223	248	248
47.0	1.223223	260	260
48.0	1.223223	239	239
49.0	1.223223	223	223
50.0	1.223223	223	223
51.0	1.223223	213	213
52.0	1.223223	201	201
53.0	1.223223	205	205
54.0	1.223223	212	212
55.0	1.223223	173	173
56.0	1.223223	165	165
57.0	1.223223	170	170
58.0	1.223223	140	140
59.0	1.223223	135	135
60.0	1.223223	146	146
61.0	1.223223	128	128
62.0	1.223223	137	137
63.0	1.223223	110	110
64.0	1.223223	110	110
65.0	1.223223	90	90
66.0	1.223223	111	111
67.0	1.223223	99	99
68.0	1.223223	91	91
69.0	1.223223	101	101
70.0	1.223223	84	84
71.0	1.223223	107	107
72.0	1.223223	87	87
73.0	1.223223	85	85
74.0	1.223223	97	97
75.0	1.223223	77	77
76.0	1.223223	65	65
77.0	1.223223	70	70
78.0	1.223223	75	75
79.0	1.223223	80	80
80.0	1.223223	88	88
81.0	1.223223	68	68
82.0	1.223223	80	80
83.0	1.223223	44	44
84.0	1.223223	64	64
85.0	1.223223	70	70
86.0	1.223223	55	55
87.0	1.223223	64	64
88.0	1.223223	52	52
89.0	1.223223	61	61
90.0	1.223223	43	43
91.0	1.223223	39	39
92.0	1.223223	47	47
93.0	1.223223	45	45
94.0	1.223223	54	54
95.0	1.223223	40	40
96.0	1.223223	42	42
97.0	1.223223	43	43
98.0	1.223223	48	48
99.0	1.223223	30	30
100.0	1.223223	36	36
101.0	0	41	41
102.0	0	28	28
103.0	0	43	43
104.0	0	29	29
105.0	0	39	39
106.0	0	41	41
107.0	0	28	28
108.0	0	40	40
109.0	0	29	29
110.0	0	27	27
111.0	0	29	29
112.0	0	29	29
113.0	0	27	27
114.0	0	27	27
115.0	0	19	19
116.0	0	18	18
117.0	0	25	25
118.0	0	28	28
119.0	0	21	21
120.0	0	23	23
121.0	0	17	17
122.0	0	26	26
123.0	0	19	19
124.0	0	25	25
125.0	0	25	25
126.0	0	18	18
127.0	0	17	17
128.0	0	22	22
129.0	0	14	14
130.0	0	21	21
131.0	0	17	17
132.0	0	17	17
133.0	0	21	21
134.0	0	27	27
135.0	0	16	16
136.0	0	11	11
137.0	0	21	21
138.0	0	13	13
139.0	0	19	19
140.0	0	13	13
141.0	0	15	15
142.0	0	18	18
143.0	0	14	14
144.0	0	10	10
145.0	0	16	16
146.0	0	11	11
147.0	0	20	20
148.0	0	12	12
149.0	0	9	9
150.0	0	14	14
151.0	0	12	12
152.0	0	14	14
153.0	0	17	17
154.0	0	13	13
155.0	0	11	11
156.0	0	10	10
157.0	0	11	11
158.0	0	17	17
159.0	0	9	9
160.0	0	12	12
161.0	0	19	19
162.0	0	8	8
163.0	0	12	12
164.0	0	9	9
165.0	0	11	11
166.0	0	10	10
167.0	0	13	13
168.0	0	17	17
169.0	0	7	7
170.0	0	7	7
171.0	0	8	8
172.0	0	9	9
173.0	0	8	8
174.0	0	8	8
175.0	0	10	10
176.0	0	6	6
177.0	0	3	3
178.0	0	5	5
179.0	0	5	5
180.0	0	7	7
181.0	0	7	7
182.0	0	6	6
183.0	0	4	4
184.0	0	7	7
185.0	0	7	7
186.0	0	10	10
187.0	0	6	6
188.0	0	5	5
189.0	0	8	8
190.0	0	10	10
191.0	0	5	5
192.0	0	4	4
193.0	0	7	7
194.0	0	1	1
195.0	0	11	11
196.0	0	6	6
197.0	0	5	5
198.0	0	5	5
199.0	0	6	6
200.0	0	7	7
201.0	0	3	3
202.0	0	10	10
203.0	0	6	6
204.0	0	8	8
205.0	0	2	2
206.0	0	3	3
207.0	0	6	6
208.0	0	4	4
209.0	0	8	8
210.0	0	6	6
211.0	0	7	7
212.0	0	4	4
213.0	0	6	6
214.0	0	8	8
215.0	0	6	6
216.0	0	4	4
217.0	0	7	7
218.0	0	4	4
219.0	0	5	5
220.0	0	2	2
221.0	0	4	4
222.0	0	6	6
223.0	0	5	5
224.0	0	5	5
225.0	0	3	3
226.0	0	8	8
227.0	0	3	3
228.0	0	3	3
229.0	0	5	5
230.0	0	6	6
231.0	0	4	4
232.0	0	5	5
233.0	0	1	1
234.0	0	4	4
235.0	0	7	7
237.0	0	2	2
