## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/WT_DSS_D1_REP3_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/WT_DSS_D1_REP3_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/WT_DSS_D1_REP3_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 08:55:32 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	11285	12585147	4748194	0	6023	2676254	0	0.212796	25227540

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9294569	9294569
2.0	1.607219	398092	398092
3.0	1.975934	85188	85188
4.0	2.199825	38235	38235
5.0	2.335776	21354	21354
6.0	2.418328	13647	13647
7.0	2.468455	9052	9052
8.0	2.498894	6877	6877
9.0	2.517376	5127	5127
10.0	2.528599	4048	4048
11.0	2.535414	3244	3244
12.0	2.539552	2610	2610
13.0	2.542065	2266	2266
14.0	2.543591	1894	1894
15.0	2.544517	1658	1658
16.0	2.54508	1447	1447
17.0	2.545421	1171	1171
18.0	2.545629	1078	1078
19.0	2.545755	946	946
20.0	2.545831	850	850
21.0	2.545878	756	756
22.0	2.545906	674	674
23.0	2.545923	592	592
24.0	2.545933	537	537
25.0	2.54594	508	508
26.0	2.545943	482	482
27.0	2.545946	471	471
28.0	2.545947	430	430
29.0	2.545948	388	388
30.0	2.545949	387	387
31.0	2.545949	375	375
32.0	2.545949	306	306
33.0	2.545949	313	313
34.0	2.545949	307	307
35.0	2.545949	255	255
36.0	2.545949	243	243
37.0	2.545949	218	218
38.0	2.545949	237	237
39.0	2.545949	199	199
40.0	2.545949	187	187
41.0	2.545949	199	199
42.0	2.545949	184	184
43.0	2.545949	171	171
44.0	2.545949	180	180
45.0	2.545949	154	154
46.0	2.545949	159	159
47.0	2.545949	150	150
48.0	2.545949	152	152
49.0	2.545949	125	125
50.0	2.545949	127	127
51.0	2.545949	109	109
52.0	2.545949	119	119
53.0	2.545949	111	111
54.0	2.545949	99	99
55.0	2.545949	102	102
56.0	2.545949	105	105
57.0	2.545949	102	102
58.0	2.545949	99	99
59.0	2.545949	76	76
60.0	2.545949	81	81
61.0	2.545949	80	80
62.0	2.545949	76	76
63.0	2.545949	92	92
64.0	2.545949	82	82
65.0	2.545949	84	84
66.0	2.545949	65	65
67.0	2.545949	75	75
68.0	2.545949	71	71
69.0	2.545949	67	67
70.0	2.545949	68	68
71.0	2.545949	57	57
72.0	2.545949	69	69
73.0	2.545949	66	66
74.0	2.545949	62	62
75.0	2.545949	72	72
76.0	2.545949	36	36
77.0	2.545949	54	54
78.0	2.545949	60	60
79.0	2.545949	46	46
80.0	2.545949	43	43
81.0	2.545949	45	45
82.0	2.545949	50	50
83.0	2.545949	47	47
84.0	2.545949	46	46
85.0	2.545949	44	44
86.0	2.545949	47	47
87.0	2.545949	45	45
88.0	2.545949	48	48
89.0	2.545949	33	33
90.0	2.545949	39	39
91.0	2.545949	42	42
92.0	2.545949	40	40
93.0	2.545949	30	30
94.0	2.545949	34	34
95.0	2.545949	43	43
96.0	2.545949	29	29
97.0	2.545949	25	25
98.0	2.545949	36	36
99.0	2.545949	32	32
100.0	2.545949	26	26
101.0	0	37	37
102.0	0	41	41
103.0	0	20	20
104.0	0	32	32
105.0	0	38	38
106.0	0	23	23
107.0	0	24	24
108.0	0	28	28
109.0	0	39	39
110.0	0	33	33
111.0	0	24	24
112.0	0	24	24
113.0	0	22	22
114.0	0	21	21
115.0	0	29	29
116.0	0	26	26
117.0	0	18	18
118.0	0	21	21
119.0	0	23	23
120.0	0	30	30
121.0	0	17	17
122.0	0	18	18
123.0	0	19	19
124.0	0	22	22
125.0	0	14	14
126.0	0	19	19
127.0	0	13	13
128.0	0	20	20
129.0	0	20	20
130.0	0	18	18
131.0	0	23	23
132.0	0	18	18
133.0	0	17	17
134.0	0	18	18
135.0	0	17	17
136.0	0	16	16
137.0	0	16	16
138.0	0	19	19
139.0	0	15	15
140.0	0	14	14
141.0	0	13	13
142.0	0	22	22
143.0	0	10	10
144.0	0	17	17
145.0	0	12	12
146.0	0	19	19
147.0	0	17	17
148.0	0	15	15
149.0	0	20	20
150.0	0	11	11
151.0	0	12	12
152.0	0	12	12
153.0	0	6	6
154.0	0	20	20
155.0	0	9	9
156.0	0	18	18
157.0	0	12	12
158.0	0	13	13
159.0	0	11	11
160.0	0	16	16
161.0	0	15	15
162.0	0	14	14
163.0	0	11	11
164.0	0	7	7
165.0	0	8	8
166.0	0	7	7
167.0	0	15	15
168.0	0	11	11
169.0	0	10	10
170.0	0	4	4
171.0	0	8	8
172.0	0	8	8
173.0	0	12	12
174.0	0	12	12
175.0	0	13	13
176.0	0	11	11
177.0	0	14	14
178.0	0	8	8
179.0	0	8	8
180.0	0	12	12
181.0	0	8	8
182.0	0	13	13
183.0	0	11	11
184.0	0	11	11
185.0	0	11	11
186.0	0	15	15
187.0	0	3	3
188.0	0	8	8
189.0	0	8	8
190.0	0	7	7
191.0	0	8	8
192.0	0	11	11
193.0	0	10	10
194.0	0	5	5
195.0	0	6	6
196.0	0	8	8
197.0	0	9	9
198.0	0	4	4
199.0	0	7	7
200.0	0	7	7
201.0	0	7	7
202.0	0	7	7
203.0	0	6	6
204.0	0	11	11
205.0	0	12	12
206.0	0	7	7
207.0	0	15	15
208.0	0	11	11
209.0	0	4	4
210.0	0	4	4
211.0	0	6	6
212.0	0	8	8
213.0	0	5	5
214.0	0	12	12
215.0	0	4	4
216.0	0	10	10
217.0	0	6	6
218.0	0	5	5
219.0	0	11	11
220.0	0	6	6
221.0	0	12	12
222.0	0	7	7
223.0	0	11	11
224.0	0	7	7
225.0	0	8	8
226.0	0	10	10
227.0	0	6	6
228.0	0	6	6
229.0	0	7	7
230.0	0	8	8
231.0	0	7	7
232.0	0	10	10
233.0	0	10	10
234.0	0	3	3
235.0	0	9	9
236.0	0	8	8
237.0	0	6	6
238.0	0	5	5
239.0	0	7	7
240.0	0	7	7
241.0	0	4	4
242.0	0	12	12
243.0	0	2	2
244.0	0	7	7
245.0	0	5	5
246.0	0	2	2
247.0	0	2	2
248.0	0	6	6
249.0	0	7	7
250.0	0	4	4
251.0	0	8	8
252.0	0	4	4
253.0	0	3	3
254.0	0	8	8
255.0	0	4	4
256.0	0	6	6
257.0	0	6	6
258.0	0	2	2
259.0	0	4	4
260.0	0	1	1
261.0	0	5	5
262.0	0	8	8
263.0	0	1	1
264.0	0	5	5
265.0	0	2	2
266.0	0	5	5
267.0	0	7	7
268.0	0	7	7
269.0	0	7	7
270.0	0	6	6
271.0	0	5	5
272.0	0	3	3
273.0	0	3	3
274.0	0	4	4
275.0	0	12	12
276.0	0	5	5
277.0	0	1	1
278.0	0	7	7
279.0	0	9	9
280.0	0	8	8
281.0	0	3	3
282.0	0	1	1
283.0	0	3	3
284.0	0	6	6
285.0	0	3	3
286.0	0	2	2
287.0	0	5	5
288.0	0	4	4
289.0	0	6	6
290.0	0	1	1
291.0	0	4	4
292.0	0	4	4
293.0	0	2	2
294.0	0	5	5
295.0	0	1	1
296.0	0	4	4
297.0	0	5	5
298.0	0	2	2
299.0	0	2	2
300.0	0	6	6
301.0	0	3	3
302.0	0	5	5
303.0	0	8	8
304.0	0	2	2
305.0	0	1	1
306.0	0	1	1
307.0	0	5	5
308.0	0	2	2
309.0	0	3	3
310.0	0	6	6
311.0	0	1	1
312.0	0	2	2
313.0	0	6	6
314.0	0	2	2
315.0	0	4	4
316.0	0	3	3
317.0	0	2	2
318.0	0	7	7
319.0	0	2	2
320.0	0	4	4
322.0	0	1	1
323.0	0	2	2
324.0	0	1	1
325.0	0	3	3
326.0	0	3	3
327.0	0	3	3
328.0	0	3	3
329.0	0	4	4
330.0	0	8	8
331.0	0	4	4
332.0	0	3	3
333.0	0	3	3
334.0	0	3	3
335.0	0	2	2
336.0	0	5	5
337.0	0	3	3
338.0	0	5	5
339.0	0	3	3
340.0	0	3	3
341.0	0	1	1
342.0	0	3	3
343.0	0	4	4
344.0	0	3	3
345.0	0	4	4
346.0	0	5	5
347.0	0	2	2
348.0	0	4	4
350.0	0	1	1
351.0	0	1	1
352.0	0	4	4
354.0	0	2	2
355.0	0	2	2
357.0	0	5	5
358.0	0	1	1
359.0	0	2	2
360.0	0	2	2
361.0	0	6	6
362.0	0	2	2
363.0	0	1	1
364.0	0	1	1
365.0	0	4	4
366.0	0	6	6
367.0	0	2	2
368.0	0	1	1
369.0	0	2	2
370.0	0	1	1
371.0	0	5	5
372.0	0	2	2
373.0	0	2	2
374.0	0	1	1
375.0	0	4	4
376.0	0	2	2
377.0	0	4	4
378.0	0	5	5
379.0	0	1	1
380.0	0	2	2
381.0	0	1	1
382.0	0	2	2
383.0	0	1	1
384.0	0	4	4
385.0	0	2	2
387.0	0	1	1
388.0	0	2	2
389.0	0	2	2
390.0	0	4	4
391.0	0	3	3
392.0	0	2	2
393.0	0	1	1
394.0	0	2	2
395.0	0	3	3
396.0	0	1	1
397.0	0	1	1
