## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/MAP3Kneg_DSS_D1_REP1_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/MAP3Kneg_DSS_D1_REP1_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/MAP3Kneg_DSS_D1_REP1_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 08:34:02 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	10697	15614394	5152654	0	5837	3683801	0	0.236029	27651962

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	11140006	11140006
2.0	1.568544	484016	484016
3.0	1.891787	112174	112174
4.0	2.075565	52474	52474
5.0	2.180051	30574	30574
6.0	2.239456	19913	19913
7.0	2.27323	13986	13986
8.0	2.292432	10482	10482
9.0	2.30335	7949	7949
10.0	2.309557	6386	6386
11.0	2.313086	5211	5211
12.0	2.315092	4265	4265
13.0	2.316233	3617	3617
14.0	2.316881	3082	3082
15.0	2.31725	2615	2615
16.0	2.31746	2343	2343
17.0	2.317579	2046	2046
18.0	2.317646	1791	1791
19.0	2.317685	1563	1563
20.0	2.317707	1462	1462
21.0	2.317719	1279	1279
22.0	2.317726	1208	1208
23.0	2.31773	1094	1094
24.0	2.317733	953	953
25.0	2.317734	880	880
26.0	2.317735	836	836
27.0	2.317735	763	763
28.0	2.317735	723	723
29.0	2.317736	672	672
30.0	2.317736	592	592
31.0	2.317736	566	566
32.0	2.317736	505	505
33.0	2.317736	514	514
34.0	2.317736	458	458
35.0	2.317736	448	448
36.0	2.317736	425	425
37.0	2.317736	382	382
38.0	2.317736	367	367
39.0	2.317736	354	354
40.0	2.317736	335	335
41.0	2.317736	336	336
42.0	2.317736	294	294
43.0	2.317736	270	270
44.0	2.317736	284	284
45.0	2.317736	244	244
46.0	2.317736	232	232
47.0	2.317736	218	218
48.0	2.317736	234	234
49.0	2.317736	205	205
50.0	2.317736	183	183
51.0	2.317736	200	200
52.0	2.317736	160	160
53.0	2.317736	195	195
54.0	2.317736	178	178
55.0	2.317736	163	163
56.0	2.317736	156	156
57.0	2.317736	163	163
58.0	2.317736	150	150
59.0	2.317736	139	139
60.0	2.317736	167	167
61.0	2.317736	121	121
62.0	2.317736	148	148
63.0	2.317736	130	130
64.0	2.317736	148	148
65.0	2.317736	109	109
66.0	2.317736	123	123
67.0	2.317736	113	113
68.0	2.317736	135	135
69.0	2.317736	103	103
70.0	2.317736	101	101
71.0	2.317736	99	99
72.0	2.317736	88	88
73.0	2.317736	99	99
74.0	2.317736	96	96
75.0	2.317736	90	90
76.0	2.317736	90	90
77.0	2.317736	75	75
78.0	2.317736	82	82
79.0	2.317736	78	78
80.0	2.317736	80	80
81.0	2.317736	67	67
82.0	2.317736	79	79
83.0	2.317736	67	67
84.0	2.317736	89	89
85.0	2.317736	60	60
86.0	2.317736	55	55
87.0	2.317736	72	72
88.0	2.317736	59	59
89.0	2.317736	49	49
90.0	2.317736	55	55
91.0	2.317736	60	60
92.0	2.317736	69	69
93.0	2.317736	47	47
94.0	2.317736	50	50
95.0	2.317736	55	55
96.0	2.317736	55	55
97.0	2.317736	56	56
98.0	2.317736	65	65
99.0	2.317736	49	49
100.0	2.317736	63	63
101.0	0	56	56
102.0	0	32	32
103.0	0	36	36
104.0	0	56	56
105.0	0	53	53
106.0	0	34	34
107.0	0	44	44
108.0	0	38	38
109.0	0	39	39
110.0	0	37	37
111.0	0	36	36
112.0	0	34	34
113.0	0	37	37
114.0	0	33	33
115.0	0	43	43
116.0	0	26	26
117.0	0	32	32
118.0	0	29	29
119.0	0	26	26
120.0	0	32	32
121.0	0	36	36
122.0	0	25	25
123.0	0	38	38
124.0	0	30	30
125.0	0	35	35
126.0	0	23	23
127.0	0	33	33
128.0	0	26	26
129.0	0	25	25
130.0	0	21	21
131.0	0	32	32
132.0	0	19	19
133.0	0	23	23
134.0	0	26	26
135.0	0	22	22
136.0	0	16	16
137.0	0	24	24
138.0	0	15	15
139.0	0	26	26
140.0	0	25	25
141.0	0	20	20
142.0	0	19	19
143.0	0	19	19
144.0	0	23	23
145.0	0	18	18
146.0	0	19	19
147.0	0	24	24
148.0	0	19	19
149.0	0	20	20
150.0	0	15	15
151.0	0	20	20
152.0	0	15	15
153.0	0	17	17
154.0	0	16	16
155.0	0	29	29
156.0	0	20	20
157.0	0	21	21
158.0	0	18	18
159.0	0	17	17
160.0	0	16	16
161.0	0	14	14
162.0	0	12	12
163.0	0	23	23
164.0	0	19	19
165.0	0	18	18
166.0	0	9	9
167.0	0	22	22
168.0	0	13	13
169.0	0	15	15
170.0	0	12	12
171.0	0	12	12
172.0	0	19	19
173.0	0	11	11
174.0	0	23	23
175.0	0	15	15
176.0	0	14	14
177.0	0	10	10
178.0	0	11	11
179.0	0	17	17
180.0	0	12	12
181.0	0	15	15
182.0	0	14	14
183.0	0	17	17
184.0	0	10	10
185.0	0	16	16
186.0	0	11	11
187.0	0	23	23
188.0	0	16	16
189.0	0	4	4
190.0	0	19	19
191.0	0	9	9
192.0	0	12	12
193.0	0	12	12
194.0	0	9	9
195.0	0	8	8
196.0	0	10	10
197.0	0	9	9
198.0	0	11	11
199.0	0	13	13
200.0	0	11	11
201.0	0	10	10
202.0	0	5	5
203.0	0	8	8
204.0	0	10	10
205.0	0	10	10
206.0	0	10	10
207.0	0	11	11
208.0	0	12	12
209.0	0	11	11
210.0	0	10	10
211.0	0	10	10
212.0	0	9	9
213.0	0	8	8
214.0	0	9	9
215.0	0	7	7
216.0	0	12	12
217.0	0	7	7
218.0	0	6	6
219.0	0	7	7
220.0	0	6	6
221.0	0	9	9
222.0	0	3	3
223.0	0	7	7
224.0	0	8	8
225.0	0	13	13
226.0	0	9	9
227.0	0	8	8
228.0	0	12	12
229.0	0	10	10
230.0	0	10	10
231.0	0	11	11
232.0	0	11	11
233.0	0	6	6
234.0	0	9	9
235.0	0	6	6
236.0	0	10	10
237.0	0	10	10
238.0	0	6	6
239.0	0	7	7
240.0	0	4	4
241.0	0	4	4
242.0	0	9	9
243.0	0	13	13
244.0	0	2	2
245.0	0	9	9
246.0	0	5	5
247.0	0	4	4
248.0	0	7	7
249.0	0	6	6
250.0	0	6	6
251.0	0	4	4
252.0	0	5	5
253.0	0	8	8
254.0	0	9	9
255.0	0	4	4
256.0	0	6	6
257.0	0	8	8
258.0	0	2	2
259.0	0	6	6
260.0	0	5	5
261.0	0	10	10
262.0	0	7	7
263.0	0	9	9
264.0	0	5	5
265.0	0	4	4
266.0	0	7	7
267.0	0	7	7
268.0	0	1	1
269.0	0	3	3
270.0	0	4	4
271.0	0	14	14
272.0	0	8	8
273.0	0	4	4
274.0	0	9	9
275.0	0	4	4
276.0	0	3	3
277.0	0	8	8
278.0	0	7	7
279.0	0	3	3
280.0	0	4	4
281.0	0	2	2
282.0	0	3	3
283.0	0	2	2
285.0	0	7	7
286.0	0	1	1
287.0	0	5	5
288.0	0	1	1
289.0	0	3	3
290.0	0	3	3
291.0	0	1	1
292.0	0	5	5
293.0	0	6	6
294.0	0	5	5
295.0	0	3	3
296.0	0	2	2
297.0	0	7	7
298.0	0	5	5
299.0	0	3	3
300.0	0	4	4
301.0	0	5	5
302.0	0	4	4
303.0	0	2	2
304.0	0	4	4
305.0	0	5	5
306.0	0	6	6
307.0	0	4	4
308.0	0	2	2
309.0	0	1	1
310.0	0	9	9
311.0	0	4	4
312.0	0	4	4
313.0	0	2	2
315.0	0	3	3
316.0	0	3	3
317.0	0	2	2
318.0	0	5	5
319.0	0	2	2
320.0	0	5	5
321.0	0	3	3
322.0	0	6	6
323.0	0	6	6
324.0	0	5	5
325.0	0	3	3
326.0	0	6	6
327.0	0	3	3
328.0	0	4	4
329.0	0	2	2
330.0	0	8	8
331.0	0	5	5
332.0	0	2	2
333.0	0	2	2
334.0	0	1	1
335.0	0	2	2
336.0	0	3	3
337.0	0	6	6
338.0	0	4	4
339.0	0	4	4
340.0	0	4	4
341.0	0	3	3
342.0	0	3	3
343.0	0	6	6
344.0	0	3	3
345.0	0	3	3
346.0	0	4	4
347.0	0	6	6
348.0	0	2	2
349.0	0	3	3
350.0	0	4	4
351.0	0	1	1
352.0	0	3	3
354.0	0	3	3
355.0	0	4	4
356.0	0	3	3
357.0	0	1	1
359.0	0	3	3
360.0	0	1	1
361.0	0	4	4
362.0	0	1	1
363.0	0	4	4
364.0	0	2	2
365.0	0	3	3
366.0	0	2	2
367.0	0	3	3
368.0	0	9	9
369.0	0	2	2
370.0	0	1	1
371.0	0	4	4
372.0	0	3	3
373.0	0	2	2
374.0	0	5	5
375.0	0	3	3
376.0	0	2	2
377.0	0	2	2
378.0	0	5	5
379.0	0	4	4
380.0	0	3	3
381.0	0	1	1
383.0	0	4	4
384.0	0	6	6
385.0	0	5	5
386.0	0	4	4
387.0	0	2	2
388.0	0	1	1
389.0	0	1	1
390.0	0	2	2
391.0	0	2	2
392.0	0	1	1
393.0	0	5	5
394.0	0	1	1
395.0	0	2	2
396.0	0	1	1
397.0	0	1	1
398.0	0	1	1
399.0	0	2	2
400.0	0	2	2
401.0	0	3	3
402.0	0	2	2
403.0	0	3	3
404.0	0	2	2
405.0	0	3	3
406.0	0	2	2
407.0	0	1	1
408.0	0	2	2
409.0	0	6	6
410.0	0	2	2
411.0	0	1	1
412.0	0	1	1
413.0	0	4	4
414.0	0	2	2
415.0	0	1	1
416.0	0	1	1
417.0	0	1	1
418.0	0	2	2
420.0	0	2	2
421.0	0	1	1
422.0	0	1	1
423.0	0	2	2
424.0	0	1	1
425.0	0	1	1
426.0	0	3	3
427.0	0	1	1
428.0	0	3	3
429.0	0	2	2
431.0	0	2	2
434.0	0	1	1
435.0	0	3	3
436.0	0	2	2
437.0	0	1	1
439.0	0	3	3
441.0	0	1	1
442.0	0	2	2
443.0	0	2	2
444.0	0	2	2
445.0	0	1	1
446.0	0	2	2
447.0	0	1	1
448.0	0	2	2
449.0	0	2	2
450.0	0	2	2
451.0	0	3	3
452.0	0	1	1
453.0	0	1	1
454.0	0	1	1
455.0	0	2	2
456.0	0	1	1
457.0	0	2	2
458.0	0	5	5
459.0	0	1	1
461.0	0	3	3
464.0	0	4	4
465.0	0	1	1
468.0	0	1	1
469.0	0	2	2
470.0	0	1	1
471.0	0	1	1
473.0	0	3	3
474.0	0	3	3
475.0	0	1	1
477.0	0	2	2
478.0	0	1	1
480.0	0	4	4
481.0	0	2	2
483.0	0	1	1
484.0	0	1	1
485.0	0	1	1
486.0	0	2	2
487.0	0	2	2
488.0	0	5	5
490.0	0	2	2
491.0	0	2	2
492.0	0	2	2
493.0	0	1	1
495.0	0	1	1
497.0	0	4	4
498.0	0	2	2
502.0	0	2	2
503.0	0	1	1
