## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/MAP3Kneg_DSS_D1_REP3_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/MAP3Kneg_DSS_D1_REP3_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/MAP3Kneg_DSS_D1_REP3_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 09:36:28 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	14098	14801024	4844429	0	8284	3378862	0	0.228457	27269329

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	10625385	10625385
2.0	1.581135	493574	493574
3.0	1.918853	115343	115343
4.0	2.115113	52580	52580
5.0	2.229167	30419	30419
6.0	2.295447	19464	19464
7.0	2.333965	13578	13578
8.0	2.356349	9946	9946
9.0	2.369358	7648	7648
10.0	2.376917	6166	6166
11.0	2.38131	4907	4907
12.0	2.383863	4136	4136
13.0	2.385347	3309	3309
14.0	2.386209	2910	2910
15.0	2.38671	2506	2506
16.0	2.387001	2086	2086
17.0	2.38717	1830	1830
18.0	2.387269	1713	1713
19.0	2.387326	1482	1482
20.0	2.387359	1302	1302
21.0	2.387378	1163	1163
22.0	2.38739	993	993
23.0	2.387396	980	980
24.0	2.3874	871	871
25.0	2.387402	850	850
26.0	2.387403	738	738
27.0	2.387404	714	714
28.0	2.387405	663	663
29.0	2.387405	582	582
30.0	2.387405	555	555
31.0	2.387405	562	562
32.0	2.387405	465	465
33.0	2.387405	453	453
34.0	2.387405	428	428
35.0	2.387405	417	417
36.0	2.387405	366	366
37.0	2.387405	351	351
38.0	2.387405	321	321
39.0	2.387405	290	290
40.0	2.387405	291	291
41.0	2.387405	285	285
42.0	2.387405	265	265
43.0	2.387405	265	265
44.0	2.387405	272	272
45.0	2.387405	256	256
46.0	2.387405	212	212
47.0	2.387405	229	229
48.0	2.387405	202	202
49.0	2.387405	183	183
50.0	2.387405	175	175
51.0	2.387405	162	162
52.0	2.387405	159	159
53.0	2.387405	164	164
54.0	2.387405	156	156
55.0	2.387405	147	147
56.0	2.387405	139	139
57.0	2.387405	119	119
58.0	2.387405	137	137
59.0	2.387405	129	129
60.0	2.387405	118	118
61.0	2.387405	134	134
62.0	2.387405	120	120
63.0	2.387405	114	114
64.0	2.387405	86	86
65.0	2.387405	108	108
66.0	2.387405	93	93
67.0	2.387405	90	90
68.0	2.387405	104	104
69.0	2.387405	106	106
70.0	2.387405	104	104
71.0	2.387405	75	75
72.0	2.387405	87	87
73.0	2.387405	91	91
74.0	2.387405	89	89
75.0	2.387405	74	74
76.0	2.387405	84	84
77.0	2.387405	84	84
78.0	2.387405	60	60
79.0	2.387405	72	72
80.0	2.387405	67	67
81.0	2.387405	64	64
82.0	2.387405	54	54
83.0	2.387405	50	50
84.0	2.387405	57	57
85.0	2.387405	73	73
86.0	2.387405	62	62
87.0	2.387405	68	68
88.0	2.387405	53	53
89.0	2.387405	39	39
90.0	2.387405	73	73
91.0	2.387405	55	55
92.0	2.387405	41	41
93.0	2.387405	54	54
94.0	2.387405	42	42
95.0	2.387405	39	39
96.0	2.387405	44	44
97.0	2.387405	45	45
98.0	2.387405	47	47
99.0	2.387405	38	38
100.0	2.387405	38	38
101.0	0	31	31
102.0	0	33	33
103.0	0	47	47
104.0	0	45	45
105.0	0	43	43
106.0	0	38	38
107.0	0	33	33
108.0	0	30	30
109.0	0	27	27
110.0	0	22	22
111.0	0	27	27
112.0	0	27	27
113.0	0	25	25
114.0	0	39	39
115.0	0	25	25
116.0	0	30	30
117.0	0	31	31
118.0	0	28	28
119.0	0	25	25
120.0	0	23	23
121.0	0	33	33
122.0	0	24	24
123.0	0	29	29
124.0	0	34	34
125.0	0	17	17
126.0	0	23	23
127.0	0	17	17
128.0	0	24	24
129.0	0	25	25
130.0	0	26	26
131.0	0	20	20
132.0	0	11	11
133.0	0	20	20
134.0	0	17	17
135.0	0	21	21
136.0	0	21	21
137.0	0	25	25
138.0	0	21	21
139.0	0	17	17
140.0	0	24	24
141.0	0	28	28
142.0	0	25	25
143.0	0	16	16
144.0	0	18	18
145.0	0	9	9
146.0	0	24	24
147.0	0	26	26
148.0	0	14	14
149.0	0	19	19
150.0	0	24	24
151.0	0	17	17
152.0	0	14	14
153.0	0	19	19
154.0	0	13	13
155.0	0	14	14
156.0	0	10	10
157.0	0	17	17
158.0	0	18	18
159.0	0	15	15
160.0	0	15	15
161.0	0	14	14
162.0	0	18	18
163.0	0	13	13
164.0	0	9	9
165.0	0	11	11
166.0	0	14	14
167.0	0	16	16
168.0	0	16	16
169.0	0	12	12
170.0	0	12	12
171.0	0	11	11
172.0	0	13	13
173.0	0	15	15
174.0	0	10	10
175.0	0	13	13
176.0	0	16	16
177.0	0	8	8
178.0	0	8	8
179.0	0	11	11
180.0	0	10	10
181.0	0	15	15
182.0	0	10	10
183.0	0	9	9
184.0	0	6	6
185.0	0	11	11
186.0	0	14	14
187.0	0	16	16
188.0	0	9	9
189.0	0	11	11
190.0	0	13	13
191.0	0	7	7
192.0	0	9	9
193.0	0	7	7
194.0	0	13	13
195.0	0	3	3
196.0	0	8	8
197.0	0	12	12
198.0	0	8	8
199.0	0	8	8
200.0	0	7	7
201.0	0	7	7
202.0	0	3	3
203.0	0	6	6
204.0	0	4	4
205.0	0	8	8
206.0	0	9	9
207.0	0	11	11
208.0	0	10	10
209.0	0	11	11
210.0	0	6	6
211.0	0	8	8
212.0	0	9	9
213.0	0	12	12
214.0	0	11	11
215.0	0	12	12
216.0	0	2	2
217.0	0	6	6
218.0	0	10	10
219.0	0	6	6
220.0	0	7	7
221.0	0	7	7
222.0	0	6	6
223.0	0	5	5
224.0	0	4	4
225.0	0	6	6
226.0	0	9	9
227.0	0	11	11
228.0	0	2	2
229.0	0	5	5
230.0	0	7	7
231.0	0	6	6
232.0	0	5	5
233.0	0	5	5
234.0	0	3	3
235.0	0	9	9
236.0	0	9	9
237.0	0	5	5
238.0	0	4	4
239.0	0	13	13
240.0	0	9	9
241.0	0	1	1
242.0	0	9	9
243.0	0	5	5
244.0	0	7	7
245.0	0	4	4
246.0	0	6	6
247.0	0	5	5
248.0	0	6	6
249.0	0	7	7
250.0	0	5	5
251.0	0	8	8
252.0	0	3	3
253.0	0	4	4
254.0	0	7	7
255.0	0	2	2
256.0	0	5	5
257.0	0	4	4
258.0	0	5	5
259.0	0	5	5
260.0	0	4	4
261.0	0	5	5
262.0	0	1	1
263.0	0	6	6
264.0	0	9	9
265.0	0	4	4
266.0	0	6	6
267.0	0	5	5
268.0	0	4	4
269.0	0	6	6
270.0	0	1	1
271.0	0	2	2
272.0	0	8	8
273.0	0	4	4
274.0	0	6	6
275.0	0	6	6
276.0	0	3	3
277.0	0	4	4
278.0	0	4	4
279.0	0	5	5
280.0	0	7	7
281.0	0	4	4
282.0	0	2	2
283.0	0	3	3
284.0	0	4	4
285.0	0	6	6
286.0	0	2	2
287.0	0	1	1
288.0	0	3	3
289.0	0	6	6
290.0	0	4	4
291.0	0	3	3
292.0	0	7	7
293.0	0	6	6
294.0	0	2	2
295.0	0	5	5
296.0	0	1	1
297.0	0	9	9
298.0	0	3	3
299.0	0	2	2
300.0	0	6	6
301.0	0	3	3
302.0	0	6	6
303.0	0	4	4
304.0	0	3	3
305.0	0	1	1
306.0	0	2	2
307.0	0	4	4
308.0	0	2	2
309.0	0	4	4
310.0	0	4	4
311.0	0	2	2
312.0	0	1	1
313.0	0	3	3
314.0	0	1	1
315.0	0	5	5
316.0	0	4	4
317.0	0	4	4
318.0	0	5	5
319.0	0	2	2
320.0	0	2	2
321.0	0	2	2
322.0	0	4	4
323.0	0	2	2
324.0	0	2	2
325.0	0	2	2
326.0	0	2	2
327.0	0	2	2
328.0	0	2	2
329.0	0	4	4
330.0	0	3	3
331.0	0	1	1
333.0	0	3	3
335.0	0	2	2
336.0	0	5	5
337.0	0	4	4
338.0	0	1	1
339.0	0	3	3
340.0	0	2	2
343.0	0	2	2
344.0	0	11	11
345.0	0	1	1
346.0	0	2	2
347.0	0	2	2
348.0	0	1	1
349.0	0	3	3
350.0	0	1	1
351.0	0	1	1
352.0	0	1	1
353.0	0	5	5
354.0	0	4	4
355.0	0	1	1
356.0	0	3	3
357.0	0	2	2
358.0	0	3	3
359.0	0	2	2
360.0	0	2	2
361.0	0	3	3
362.0	0	4	4
363.0	0	2	2
364.0	0	6	6
365.0	0	1	1
366.0	0	3	3
367.0	0	2	2
368.0	0	2	2
369.0	0	3	3
371.0	0	3	3
372.0	0	2	2
373.0	0	3	3
376.0	0	3	3
377.0	0	4	4
378.0	0	1	1
379.0	0	1	1
380.0	0	2	2
381.0	0	2	2
384.0	0	2	2
385.0	0	3	3
387.0	0	2	2
388.0	0	2	2
390.0	0	2	2
391.0	0	1	1
392.0	0	4	4
393.0	0	1	1
394.0	0	1	1
395.0	0	1	1
396.0	0	1	1
397.0	0	7	7
400.0	0	4	4
401.0	0	1	1
402.0	0	1	1
403.0	0	3	3
405.0	0	2	2
406.0	0	2	2
408.0	0	3	3
409.0	0	2	2
411.0	0	2	2
412.0	0	3	3
413.0	0	3	3
414.0	0	1	1
416.0	0	1	1
417.0	0	1	1
418.0	0	2	2
419.0	0	1	1
420.0	0	2	2
421.0	0	2	2
422.0	0	1	1
423.0	0	2	2
424.0	0	1	1
427.0	0	2	2
429.0	0	1	1
431.0	0	2	2
434.0	0	2	2
435.0	0	1	1
437.0	0	1	1
438.0	0	4	4
439.0	0	2	2
440.0	0	2	2
443.0	0	3	3
444.0	0	2	2
445.0	0	1	1
446.0	0	3	3
448.0	0	2	2
449.0	0	3	3
450.0	0	1	1
451.0	0	3	3
452.0	0	2	2
453.0	0	4	4
454.0	0	3	3
455.0	0	2	2
456.0	0	3	3
457.0	0	1	1
458.0	0	3	3
459.0	0	2	2
460.0	0	3	3
461.0	0	2	2
462.0	0	1	1
463.0	0	2	2
464.0	0	1	1
465.0	0	2	2
468.0	0	1	1
469.0	0	4	4
470.0	0	1	1
471.0	0	1	1
472.0	0	3	3
474.0	0	1	1
475.0	0	1	1
476.0	0	1	1
478.0	0	2	2
479.0	0	1	1
480.0	0	1	1
481.0	0	2	2
482.0	0	2	2
484.0	0	3	3
486.0	0	2	2
487.0	0	2	2
489.0	0	1	1
491.0	0	2	2
494.0	0	2	2
495.0	0	1	1
497.0	0	2	2
498.0	0	2	2
500.0	0	1	1
501.0	0	1	1
503.0	0	1	1
504.0	0	3	3
506.0	0	2	2
507.0	0	4	4
509.0	0	2	2
510.0	0	1	1
511.0	0	3	3
513.0	0	1	1
514.0	0	2	2
516.0	0	1	1
517.0	0	1	1
519.0	0	1	1
520.0	0	2	2
522.0	0	2	2
523.0	0	1	1
525.0	0	1	1
526.0	0	1	1
528.0	0	3	3
529.0	0	3	3
530.0	0	1	1
531.0	0	1	1
533.0	0	1	1
535.0	0	2	2
536.0	0	1	1
537.0	0	1	1
538.0	0	1	1
539.0	0	1	1
540.0	0	1	1
543.0	0	1	1
544.0	0	1	1
549.0	0	3	3
550.0	0	1	1
551.0	0	2	2
552.0	0	1	1
556.0	0	1	1
559.0	0	2	2
565.0	0	1	1
567.0	0	1	1
569.0	0	2	2
570.0	0	1	1
571.0	0	1	1
572.0	0	3	3
573.0	0	3	3
574.0	0	1	1
577.0	0	1	1
580.0	0	5	5
583.0	0	1	1
584.0	0	4	4
586.0	0	1	1
587.0	0	1	1
590.0	0	1	1
592.0	0	1	1
594.0	0	1	1
595.0	0	2	2
597.0	0	2	2
598.0	0	1	1
599.0	0	1	1
604.0	0	1	1
606.0	0	1	1
607.0	0	3	3
609.0	0	1	1
610.0	0	1	1
612.0	0	1	1
616.0	0	1	1
621.0	0	1	1
626.0	0	2	2
627.0	0	1	1
631.0	0	3	3
632.0	0	2	2
633.0	0	2	2
639.0	0	2	2
640.0	0	2	2
645.0	0	2	2
648.0	0	2	2
649.0	0	1	1
650.0	0	1	1
651.0	0	1	1
654.0	0	1	1
655.0	0	1	1
662.0	0	1	1
667.0	0	1	1
668.0	0	1	1
670.0	0	1	1
673.0	0	1	1
674.0	0	1	1
675.0	0	4	4
679.0	0	2	2
681.0	0	1	1
682.0	0	1	1
683.0	0	1	1
691.0	0	1	1
692.0	0	1	1
694.0	0	3	3
697.0	0	1	1
698.0	0	2	2
699.0	0	1	1
701.0	0	1	1
706.0	0	1	1
707.0	0	1	1
708.0	0	1	1
710.0	0	4	4
712.0	0	1	1
715.0	0	1	1
717.0	0	1	1
719.0	0	1	1
725.0	0	1	1
727.0	0	1	1
730.0	0	1	1
732.0	0	1	1
735.0	0	1	1
736.0	0	1	1
738.0	0	1	1
739.0	0	1	1
740.0	0	3	3
741.0	0	1	1
751.0	0	1	1
755.0	0	1	1
757.0	0	1	1
