## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/4194L_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/4194L_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/4194L_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 29 02:40:18 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	22279339	5542632	0	0	6951391	0	0.312011	27808501

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	11820071	11820071
2.0	1.448804	2487137	2487137
3.0	1.650228	562652	562652
4.0	1.740628	179210	179210
5.0	1.7812	81899	81899
6.0	1.799409	47310	47310
7.0	1.807581	30346	30346
8.0	1.811249	21504	21504
9.0	1.812895	15540	15540
10.0	1.813634	11897	11897
11.0	1.813965	9398	9398
12.0	1.814114	7291	7291
13.0	1.814181	6070	6070
14.0	1.814211	5043	5043
15.0	1.814224	4273	4273
16.0	1.81423	3578	3578
17.0	1.814233	3026	3026
18.0	1.814234	2564	2564
19.0	1.814235	2380	2380
20.0	1.814235	2022	2022
21.0	1.814235	1762	1762
22.0	1.814235	1599	1599
23.0	1.814235	1409	1409
24.0	1.814235	1292	1292
25.0	1.814235	1198	1198
26.0	1.814235	1101	1101
27.0	1.814235	932	932
28.0	1.814235	920	920
29.0	1.814235	755	755
30.0	1.814235	762	762
31.0	1.814235	659	659
32.0	1.814235	647	647
33.0	1.814235	602	602
34.0	1.814235	539	539
35.0	1.814235	524	524
36.0	1.814235	453	453
37.0	1.814235	407	407
38.0	1.814235	415	415
39.0	1.814235	368	368
40.0	1.814235	350	350
41.0	1.814235	337	337
42.0	1.814235	296	296
43.0	1.814235	266	266
44.0	1.814235	282	282
45.0	1.814235	247	247
46.0	1.814235	243	243
47.0	1.814235	250	250
48.0	1.814235	211	211
49.0	1.814235	218	218
50.0	1.814235	221	221
51.0	1.814235	196	196
52.0	1.814235	195	195
53.0	1.814235	147	147
54.0	1.814235	152	152
55.0	1.814235	147	147
56.0	1.814235	142	142
57.0	1.814235	132	132
58.0	1.814235	140	140
59.0	1.814235	141	141
60.0	1.814235	119	119
61.0	1.814235	127	127
62.0	1.814235	110	110
63.0	1.814235	100	100
64.0	1.814235	110	110
65.0	1.814235	101	101
66.0	1.814235	87	87
67.0	1.814235	100	100
68.0	1.814235	96	96
69.0	1.814235	82	82
70.0	1.814235	80	80
71.0	1.814235	88	88
72.0	1.814235	82	82
73.0	1.814235	84	84
74.0	1.814235	68	68
75.0	1.814235	71	71
76.0	1.814235	62	62
77.0	1.814235	66	66
78.0	1.814235	65	65
79.0	1.814235	52	52
80.0	1.814235	54	54
81.0	1.814235	56	56
82.0	1.814235	54	54
83.0	1.814235	50	50
84.0	1.814235	52	52
85.0	1.814235	46	46
86.0	1.814235	52	52
87.0	1.814235	43	43
88.0	1.814235	41	41
89.0	1.814235	47	47
90.0	1.814235	42	42
91.0	1.814235	41	41
92.0	1.814235	52	52
93.0	1.814235	34	34
94.0	1.814235	34	34
95.0	1.814235	33	33
96.0	1.814235	38	38
97.0	1.814235	31	31
98.0	1.814235	33	33
99.0	1.814235	35	35
100.0	1.814235	28	28
101.0	0	24	24
102.0	0	36	36
103.0	0	34	34
104.0	0	26	26
105.0	0	26	26
106.0	0	27	27
107.0	0	29	29
108.0	0	25	25
109.0	0	18	18
110.0	0	19	19
111.0	0	19	19
112.0	0	29	29
113.0	0	16	16
114.0	0	24	24
115.0	0	15	15
116.0	0	30	30
117.0	0	23	23
118.0	0	22	22
119.0	0	18	18
120.0	0	20	20
121.0	0	19	19
122.0	0	12	12
123.0	0	8	8
124.0	0	13	13
125.0	0	16	16
126.0	0	11	11
127.0	0	13	13
128.0	0	14	14
129.0	0	18	18
130.0	0	19	19
131.0	0	12	12
132.0	0	8	8
133.0	0	13	13
134.0	0	12	12
135.0	0	10	10
136.0	0	14	14
137.0	0	14	14
138.0	0	11	11
139.0	0	13	13
140.0	0	8	8
141.0	0	10	10
142.0	0	8	8
143.0	0	7	7
144.0	0	14	14
145.0	0	13	13
146.0	0	14	14
147.0	0	7	7
148.0	0	9	9
149.0	0	8	8
150.0	0	9	9
151.0	0	8	8
152.0	0	6	6
153.0	0	12	12
154.0	0	8	8
155.0	0	10	10
156.0	0	8	8
157.0	0	9	9
158.0	0	8	8
159.0	0	8	8
160.0	0	15	15
161.0	0	9	9
162.0	0	6	6
163.0	0	9	9
164.0	0	7	7
165.0	0	5	5
166.0	0	7	7
167.0	0	5	5
168.0	0	10	10
169.0	0	8	8
170.0	0	7	7
171.0	0	2	2
172.0	0	5	5
173.0	0	6	6
174.0	0	2	2
175.0	0	6	6
176.0	0	7	7
177.0	0	7	7
178.0	0	6	6
179.0	0	3	3
180.0	0	9	9
181.0	0	4	4
182.0	0	8	8
184.0	0	6	6
185.0	0	6	6
186.0	0	7	7
187.0	0	2	2
188.0	0	4	4
189.0	0	4	4
190.0	0	3	3
191.0	0	4	4
192.0	0	5	5
193.0	0	5	5
194.0	0	5	5
195.0	0	9	9
196.0	0	3	3
197.0	0	5	5
198.0	0	6	6
199.0	0	3	3
200.0	0	3	3
201.0	0	3	3
202.0	0	6	6
203.0	0	6	6
204.0	0	6	6
205.0	0	5	5
206.0	0	3	3
207.0	0	3	3
208.0	0	5	5
209.0	0	5	5
210.0	0	2	2
211.0	0	4	4
212.0	0	1	1
213.0	0	2	2
214.0	0	2	2
215.0	0	6	6
217.0	0	2	2
218.0	0	2	2
219.0	0	1	1
221.0	0	5	5
222.0	0	2	2
223.0	0	1	1
224.0	0	2	2
225.0	0	2	2
226.0	0	5	5
228.0	0	2	2
229.0	0	1	1
230.0	0	2	2
231.0	0	1	1
232.0	0	1	1
233.0	0	1	1
234.0	0	4	4
235.0	0	1	1
236.0	0	3	3
237.0	0	4	4
238.0	0	1	1
240.0	0	2	2
241.0	0	3	3
242.0	0	1	1
243.0	0	3	3
244.0	0	1	1
245.0	0	2	2
246.0	0	1	1
248.0	0	3	3
249.0	0	3	3
250.0	0	2	2
251.0	0	2	2
252.0	0	1	1
253.0	0	2	2
254.0	0	4	4
255.0	0	2	2
256.0	0	1	1
257.0	0	1	1
258.0	0	4	4
259.0	0	2	2
260.0	0	1	1
261.0	0	2	2
264.0	0	1	1
265.0	0	4	4
