## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/4301L_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/4301L_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/4301L_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 29 02:58:58 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	20295772	4730214	0	0	7157311	0	0.35265	21514459

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9420708	9420708
2.0	1.389319	2543554	2543554
3.0	1.540889	670711	670711
4.0	1.599898	214293	214293
5.0	1.622872	92117	92117
6.0	1.631815	50235	50235
7.0	1.635298	31896	31896
8.0	1.636653	21886	21886
9.0	1.637181	15821	15821
10.0	1.637386	12071	12071
11.0	1.637466	9326	9326
12.0	1.637498	7352	7352
13.0	1.63751	5946	5946
14.0	1.637514	4661	4661
15.0	1.637516	3974	3974
16.0	1.637517	3405	3405
17.0	1.637517	2863	2863
18.0	1.637517	2499	2499
19.0	1.637517	2171	2171
20.0	1.637517	1916	1916
21.0	1.637517	1675	1675
22.0	1.637517	1416	1416
23.0	1.637517	1302	1302
24.0	1.637517	1220	1220
25.0	1.637517	1023	1023
26.0	1.637517	942	942
27.0	1.637517	883	883
28.0	1.637517	807	807
29.0	1.637517	687	687
30.0	1.637517	654	654
31.0	1.637517	538	538
32.0	1.637517	536	536
33.0	1.637517	477	477
34.0	1.637517	453	453
35.0	1.637517	438	438
36.0	1.637517	408	408
37.0	1.637517	386	386
38.0	1.637517	339	339
39.0	1.637517	319	319
40.0	1.637517	292	292
41.0	1.637517	272	272
42.0	1.637517	273	273
43.0	1.637517	233	233
44.0	1.637517	224	224
45.0	1.637517	213	213
46.0	1.637517	205	205
47.0	1.637517	213	213
48.0	1.637517	192	192
49.0	1.637517	175	175
50.0	1.637517	149	149
51.0	1.637517	159	159
52.0	1.637517	129	129
53.0	1.637517	124	124
54.0	1.637517	132	132
55.0	1.637517	132	132
56.0	1.637517	121	121
57.0	1.637517	132	132
58.0	1.637517	105	105
59.0	1.637517	101	101
60.0	1.637517	104	104
61.0	1.637517	97	97
62.0	1.637517	67	67
63.0	1.637517	78	78
64.0	1.637517	81	81
65.0	1.637517	85	85
66.0	1.637517	85	85
67.0	1.637517	70	70
68.0	1.637517	71	71
69.0	1.637517	50	50
70.0	1.637517	54	54
71.0	1.637517	70	70
72.0	1.637517	71	71
73.0	1.637517	64	64
74.0	1.637517	63	63
75.0	1.637517	61	61
76.0	1.637517	52	52
77.0	1.637517	42	42
78.0	1.637517	51	51
79.0	1.637517	37	37
80.0	1.637517	38	38
81.0	1.637517	32	32
82.0	1.637517	40	40
83.0	1.637517	43	43
84.0	1.637517	33	33
85.0	1.637517	44	44
86.0	1.637517	48	48
87.0	1.637517	25	25
88.0	1.637517	40	40
89.0	1.637517	32	32
90.0	1.637517	28	28
91.0	1.637517	33	33
92.0	1.637517	31	31
93.0	1.637517	28	28
94.0	1.637517	23	23
95.0	1.637517	29	29
96.0	1.637517	28	28
97.0	1.637517	21	21
98.0	1.637517	14	14
99.0	1.637517	18	18
100.0	1.637517	16	16
101.0	0	16	16
102.0	0	19	19
103.0	0	22	22
104.0	0	17	17
105.0	0	17	17
106.0	0	24	24
107.0	0	20	20
108.0	0	18	18
109.0	0	13	13
110.0	0	15	15
111.0	0	19	19
112.0	0	22	22
113.0	0	11	11
114.0	0	19	19
115.0	0	10	10
116.0	0	21	21
117.0	0	22	22
118.0	0	11	11
119.0	0	12	12
120.0	0	16	16
121.0	0	9	9
122.0	0	21	21
123.0	0	13	13
124.0	0	9	9
125.0	0	11	11
126.0	0	8	8
127.0	0	10	10
128.0	0	13	13
